Tensao [V];Corrente [A]
-5;-3,541893E-10
-4,9;-3,205103E-10
-4,8;-3,005132E-10
-4,7;-2,856169E-10
-4,6;-2,757279E-10
-4,5;-2,612514E-10
-4,4;-2,510613E-10
-4,3;-2,387596E-10
-4,2;-2,303159E-10
-4,1;-2,180129E-10
-4;-2,097017E-10
-3,9;-1,981617E-10
-3,8;-1,89101E-10
-3,7;-1,778719E-10
-3,6;-1,698937E-10
-3,5;-1,618326E-10
-3,4;-1,525169E-10
-3,3;-1,412468E-10
-3,2;-1,300612E-10
-3,1;-1,227987E-10
-3;-1,118792E-10
-2,9;-1,025746E-10
-2,8;-8,942461E-11
-2,7;-8,096464E-11
-2,6;-6,987058E-11
-2,5;-6,167316E-11
-2,4;-4,892693E-11
-2,3;-3,886936E-11
-2,2;-2,945951E-11
-2,1;-1,839385E-11
-2;-6,907112E-12
-1,9;6,207024E-12
-1,8;1,563182E-11
-1,7;2,971823E-11
-1,6;3,982789E-11
-1,5;5,3118E-11
-1,4;6,504199E-11
-1,3;7,890424E-11
-1,2;9,254727E-11
-1,1;1,071477E-10
-1;1,209207E-10
-0,9;1,346132E-10
-0,8;1,514145E-10
-0,7;1,673412E-10
-0,6;1,909676E-10
-0,5;2,598328E-10
-0,4;5,199161E-10
-0,3;1,20272E-09
-0,2;3,182451E-09
-0,1;4,704815E-09
0;7,150852E-09
0,1;9,69568E-09
0,2;1,206569E-08
0,3;1,44283E-08
0,4;1,667041E-08
0,5;1,888212E-08
0,6;2,080819E-08
0,7;2,343478E-08
0,8;2,500041E-08
0,9;2,646399E-08
1;2,790051E-08
1,1;2,912758E-08
1,2;3,022278E-08
1,3;3,122549E-08
1,4;3,21612E-08
1,5;3,296815E-08
1,6;3,372265E-08
1,7;3,448923E-08
1,8;3,509364E-08
1,9;3,571479E-08
2;3,632206E-08
2,1;3,691453E-08
2,2;3,746208E-08
2,3;3,794924E-08
2,4;3,845834E-08
2,5;3,905502E-08
2,6;3,95561E-08
2,7;4,010163E-08
2,8;4,059281E-08
2,9;4,107428E-08
3;4,153238E-08
3,1;4,198065E-08
3,2;4,240452E-08
3,3;4,282798E-08
3,4;4,319825E-08
3,5;4,356535E-08
3,6;4,400383E-08
3,7;4,451302E-08
3,8;4,478802E-08
3,9;4,516948E-08
4;4,55482E-08
4,1;4,590249E-08
4,2;4,632219E-08
4,3;4,653051E-08
4,4;4,697255E-08
4,5;4,733335E-08
4,6;4,763909E-08
4,7;4,786991E-08
4,8;4,811165E-08
4,9;4,848454E-08
5;4,874116E-08
