Tensao [V];Corrente [A]
-10;-1,19631E-09
-9,95;-1,179105E-09
-9,9;-1,156528E-09
-9,85;-1,153367E-09
-9,8;-1,136533E-09
-9,75;-1,131112E-09
-9,7;-1,117588E-09
-9,65;-1,110928E-09
-9,6;-1,102981E-09
-9,55;-1,090455E-09
-9,5;-1,085405E-09
-9,45;-1,071376E-09
-9,4;-1,067127E-09
-9,35;-1,057135E-09
-9,3;-1,049547E-09
-9,25;-1,046013E-09
-9,2;-1,035034E-09
-9,15;-1,032016E-09
-9,1;-1,019183E-09
-9,05;-1,013516E-09
-9;-1,007303E-09
-8,95;-9,977669E-10
-8,9;-9,910797E-10
-8,85;-9,82055E-10
-8,8;-9,791132E-10
-8,75;-9,720649E-10
-8,7;-9,630432E-10
-8,65;-9,560872E-10
-8,6;-9,466586E-10
-8,55;-9,415366E-10
-8,5;-9,299734E-10
-8,45;-9,247803E-10
-8,4;-9,16753E-10
-8,35;-9,0873E-10
-8,3;-9,014638E-10
-8,25;-8,897298E-10
-8,2;-8,879723E-10
-8,15;-8,789697E-10
-8,1;-8,719706E-10
-8,05;-8,612239E-10
-8;-8,539273E-10
-7,95;-8,465635E-10
-7,9;-8,358332E-10
-7,85;-8,277077E-10
-7,8;-8,176226E-10
-7,75;-8,098771E-10
-7,7;-8,001856E-10
-7,65;-7,896986E-10
-7,6;-7,841349E-10
-7,55;-7,764445E-10
-7,5;-7,709846E-10
-7,45;-7,601434E-10
-7,4;-7,512802E-10
-7,35;-7,45255E-10
-7,3;-7,354781E-10
-7,25;-7,274574E-10
-7,2;-7,200345E-10
-7,15;-7,148121E-10
-7,1;-7,064184E-10
-7,05;-6,978814E-10
-7;-6,891892E-10
-6,95;-6,808256E-10
-6,9;-6,729831E-10
-6,85;-6,620189E-10
-6,8;-6,56544E-10
-6,75;-6,498281E-10
-6,7;-6,450628E-10
-6,65;-6,382129E-10
-6,6;-6,303115E-10
-6,55;-6,257818E-10
-6,5;-6,17036E-10
-6,45;-6,075692E-10
-6,4;-5,981327E-10
-6,35;-5,907572E-10
-6,3;-5,845825E-10
-6,25;-5,741876E-10
-6,2;-5,678038E-10
-6,15;-5,613991E-10
-6,1;-5,562573E-10
-6,05;-5,458874E-10
-6;-5,343693E-10
-5,95;-5,261325E-10
-5,9;-5,178584E-10
-5,85;-5,100244E-10
-5,8;-5,02037E-10
-5,75;-4,945341E-10
-5,7;-4,883032E-10
-5,65;-4,765642E-10
-5,6;-4,675023E-10
-5,55;-4,593741E-10
-5,5;-4,509089E-10
-5,45;-4,421671E-10
-5,4;-4,312074E-10
-5,35;-4,278564E-10
-5,3;-4,191021E-10
-5,25;-4,094534E-10
-5,2;-3,999205E-10
-5,15;-3,924016E-10
-5,1;-3,838934E-10
-5,05;-3,752322E-10
-5;-3,657461E-10
-4,95;-3,589687E-10
-4,9;-3,528501E-10
-4,85;-3,447796E-10
-4,8;-3,340493E-10
-4,75;-3,261127E-10
-4,7;-3,178989E-10
-4,65;-3,076026E-10
-4,6;-2,954434E-10
-4,55;-2,850921E-10
-4,5;-2,776193E-10
-4,45;-2,686801E-10
-4,4;-2,594107E-10
-4,35;-2,518502E-10
-4,3;-2,453349E-10
-4,25;-2,365721E-10
-4,2;-2,259374E-10
-4,15;-2,159673E-10
-4,1;-2,065963E-10
-4,05;-1,988566E-10
-4;-1,874513E-10
-3,95;-1,790486E-10
-3,9;-1,724538E-10
-3,85;-1,635829E-10
-3,8;-1,548983E-10
-3,75;-1,447247E-10
