Tensao [V];Corrente [A]
-10;-1,519441E-09
-9,95;-1,480213E-09
-9,9;-1,443488E-09
-9,85;-1,420153E-09
-9,8;-1,405331E-09
-9,75;-1,389589E-09
-9,7;-1,374554E-09
-9,65;-1,36218E-09
-9,6;-1,344316E-09
-9,55;-1,330934E-09
-9,5;-1,322295E-09
-9,45;-1,302236E-09
-9,4;-1,294807E-09
-9,35;-1,278014E-09
-9,3;-1,274632E-09
-9,25;-1,262591E-09
-9,2;-1,250037E-09
-9,15;-1,248468E-09
-9,1;-1,231707E-09
-9,05;-1,232976E-09
-9;-1,211671E-09
-8,95;-1,211475E-09
-8,9;-1,19026E-09
-8,85;-1,181463E-09
-8,8;-1,166867E-09
-8,75;-1,159822E-09
-8,7;-1,153388E-09
-8,65;-1,142234E-09
-8,6;-1,137339E-09
-8,55;-1,13275E-09
-8,5;-1,12017E-09
-8,45;-1,111982E-09
-8,4;-1,096049E-09
-8,35;-1,088147E-09
-8,3;-1,073231E-09
-8,25;-1,066769E-09
-8,2;-1,052643E-09
-8,15;-1,04484E-09
-8,1;-1,042855E-09
-8,05;-1,032139E-09
-8;-1,027427E-09
-7,95;-1,012891E-09
-7,9;-1,001603E-09
-7,85;-9,892063E-10
-7,8;-9,782974E-10
-7,75;-9,675017E-10
-7,7;-9,566413E-10
-7,65;-9,52424E-10
-7,6;-9,447408E-10
-7,55;-9,365236E-10
-7,5;-9,310127E-10
-7,45;-9,169677E-10
-7,4;-9,100622E-10
-7,35;-8,946738E-10
-7,3;-8,818059E-10
-7,25;-8,699774E-10
-7,2;-8,562592E-10
-7,15;-8,499793E-10
-7,1;-8,464537E-10
-7,05;-8,367379E-10
-7;-8,274495E-10
-6,95;-8,178332E-10
-6,9;-8,013051E-10
-6,85;-7,926808E-10
-6,8;-7,738643E-10
-6,75;-7,667127E-10
-6,7;-7,547722E-10
-6,65;-7,517045E-10
-6,6;-7,385642E-10
-6,55;-7,37599E-10
-6,5;-7,235724E-10
-6,45;-7,098812E-10
-6,4;-6,96708E-10
-6,35;-6,853608E-10
-6,3;-6,703417E-10
-6,25;-6,613131E-10
-6,2;-6,503416E-10
-6,15;-6,418445E-10
-6,1;-6,349924E-10
-6,05;-6,29414E-10
-6;-6,186162E-10
-5,95;-6,069032E-10
