Tensao [V];Corrente [A]
-10;-1,508228E-09
-9,95;-1,460761E-09
-9,9;-1,431897E-09
-9,85;-1,405137E-09
-9,8;-1,383204E-09
-9,75;-1,363056E-09
-9,7;-1,357744E-09
-9,65;-1,344686E-09
-9,6;-1,331323E-09
-9,55;-1,320898E-09
-9,5;-1,313009E-09
-9,45;-1,301456E-09
-9,4;-1,288077E-09
-9,35;-1,270414E-09
-9,3;-1,262366E-09
-9,25;-1,251047E-09
-9,2;-1,242559E-09
-9,15;-1,230588E-09
-9,1;-1,229986E-09
-9,05;-1,22329E-09
-9;-1,209268E-09
-8,95;-1,202406E-09
-8,9;-1,19091E-09
-8,85;-1,182726E-09
-8,8;-1,166533E-09
-8,75;-1,152697E-09
-8,7;-1,14593E-09
-8,65;-1,13983E-09
-8,6;-1,129071E-09
-8,55;-1,125879E-09
-8,5;-1,115876E-09
-8,45;-1,111102E-09
-8,4;-1,096274E-09
-8,35;-1,081645E-09
-8,3;-1,06649E-09
-8,25;-1,059338E-09
-8,2;-1,048676E-09
-8,15;-1,038311E-09
-8,1;-1,036676E-09
-8,05;-1,027707E-09
-8;-1,020827E-09
-7,95;-1,007666E-09
-7,9;-9,968977E-10
-7,85;-9,874619E-10
-7,8;-9,77892E-10
-7,75;-9,668154E-10
-7,7;-9,522729E-10
-7,65;-9,483856E-10
-7,6;-9,448149E-10
-7,55;-9,341476E-10
-7,5;-9,278933E-10
-7,45;-9,126783E-10
-7,4;-9,00454E-10
-7,35;-8,887706E-10
-7,3;-8,766035E-10
-7,25;-8,711402E-10
-7,2;-8,615483E-10
-7,15;-8,597909E-10
-7,1;-8,443493E-10
-7,05;-8,456866E-10
-7;-8,311958E-10
-6,95;-8,207865E-10
-6,9;-8,041705E-10
-6,85;-7,934678E-10
-6,8;-7,891867E-10
-6,75;-7,744853E-10
-6,7;-7,649252E-10
-6,65;-7,590235E-10
-6,6;-7,561237E-10
-6,55;-7,480117E-10
-6,5;-7,340632E-10
-6,45;-7,219846E-10
-6,4;-7,10312E-10
-6,35;-6,943807E-10
-6,3;-6,845534E-10
-6,25;-6,736082E-10
-6,2;-6,682473E-10
-6,15;-6,625403E-10
-6,1;-6,481208E-10
-6,05;-6,403733E-10
-6;-6,283216E-10
-5,95;-6,167744E-10
-5,9;-6,005723E-10
-5,85;-5,895466E-10
-5,8;-5,78967E-10
-5,75;-5,709394E-10
-5,7;-5,594309E-10
-5,65;-5,507158E-10
-5,6;-5,458733E-10
-5,55;-5,390554E-10
-5,5;-5,225725E-10
-5,45;-5,087916E-10
-5,4;-4,944363E-10
-5,35;-4,855245E-10
-5,3;-4,725751E-10
-5,25;-4,625851E-10
-5,2;-4,595558E-10
-5,15;-4,490106E-10
-5,1;-4,398605E-10
-5,05;-4,2663E-10
-5;-4,145307E-10
-4,95;-4,04015E-10
-4,9;-3,821823E-10
-4,85;-3,772872E-10
-4,8;-3,641298E-10
-4,75;-3,682474E-10
-4,7;-3,535807E-10
-4,65;-3,455101E-10
-4,6;-3,310674E-10
-4,55;-3,208314E-10
-4,5;-3,049819E-10
-4,45;-2,867057E-10
-4,4;-2,793545E-10
-4,35;-2,723946E-10
-4,3;-2,604167E-10
-4,25;-2,529257E-10
-4,2;-2,45033E-10
-4,15;-2,332378E-10
-4,1;-2,218361E-10
-4,05;-2,063812E-10
-4;-1,936682E-10
-3,95;-1,861577E-10
-3,9;-1,800553E-10
-3,85;-1,681512E-10
-3,8;-1,566465E-10
-3,75;-1,493247E-10
-3,7;-1,323587E-10
-3,65;-1,196579E-10
-3,6;-9,633597E-11
-3,55;-8,839654E-11
-3,5;-7,33768E-11
-3,45;-6,00141E-11
-3,4;-4,726908E-11
-3,35;-3,907714E-11
-3,3;-2,972214E-11
-3,25;-1,338493E-11
-3,2;-2,209916E-12
-3,15;1,443035E-11
-3,1;2,853608E-11
-3,05;4,70124E-11
-3;6,128114E-11
-2,95;6,821817E-11
-2,9;7,448236E-11
-2,85;8,754998E-11
-2,8;1,003921E-10
-2,75;1,132316E-10
-2,7;1,235907E-10
-2,65;1,400546E-10
-2,6;1,573139E-10
-2,55;1,662327E-10
-2,5;1,776298E-10
-2,45;1,901116E-10
-2,4;2,052923E-10
-2,35;2,073047E-10
-2,3;2,226728E-10
-2,25;2,374074E-10
-2,2;2,582845E-10
-2,15;2,697736E-10
-2,1;2,826022E-10
-2,05;2,965572E-10
-2;3,157012E-10
-1,95;3,196467E-10
-1,9;3,363359E-10
-1,85;3,456363E-10
-1,8;3,682635E-10
-1,75;3,847005E-10
-1,7;4,031032E-10
-1,65;4,23276E-10
-1,6;4,443835E-10
-1,55;4,62763E-10
-1,5;4,853269E-10
-1,45;5,041266E-10
-1,4;5,369598E-10
-1,35;5,672195E-10
-1,3;6,062303E-10
-1,25;6,501711E-10
-1,2;7,035976E-10
-1,15;7,577543E-10
-1,1;8,154402E-10
-1,05;8,807837E-10
-1;9,486614E-10
-0,95;1,0229E-09
-0,9;1,089045E-09
-0,85;1,171411E-09
-0,8;1,264821E-09
-0,75;1,368988E-09
-0,7;1,47903E-09
-0,65;1,600964E-09
-0,6;1,738004E-09
-0,55;1,895244E-09
-0,5;2,05053E-09
-0,45;2,148715E-09
-0,4;2,391221E-09
-0,35;2,628674E-09
-0,3;2,901839E-09
-0,25;3,178206E-09
-0,2;3,496621E-09
-0,15;3,806882E-09
-0,1;4,194559E-09
-0,05;4,537068E-09
0;5,053112E-09
0,05;5,367517E-09
0,1;5,780284E-09
0,15;6,246586E-09
0,2;6,71092E-09
0,25;7,206866E-09
0,3;7,65001E-09
0,35;8,182663E-09
0,4;8,718232E-09
0,45;9,195672E-09
0,5;9,77759E-09
0,55;1,029886E-08
0,6;1,090407E-08
0,65;1,140425E-08
0,7;1,204702E-08
0,75;1,248614E-08
0,8;1,317084E-08
0,85;1,359935E-08
0,9;1,435279E-08
0,95;1,472502E-08
1;1,548443E-08
1,05;1,589508E-08
1,1;1,660682E-08
1,15;1,707133E-08
1,2;1,769343E-08
1,25;1,818424E-08
1,3;1,878939E-08
1,35;1,93545E-08
1,4;1,994907E-08
1,45;2,035937E-08
1,5;2,108254E-08
1,55;2,162833E-08
1,6;2,220699E-08
1,65;2,257713E-08
1,7;2,308293E-08
1,75;2,363589E-08
1,8;2,396352E-08
1,85;2,444498E-08
1,9;2,478818E-08
1,95;2,518403E-08
2;2,578074E-08
2,05;2,609485E-08
2,1;2,687876E-08
2,15;2,683613E-08
2,2;2,766278E-08
2,25;2,770656E-08
2,3;2,866611E-08
2,35;2,850589E-08
2,4;2,950283E-08
2,45;2,929055E-08
2,5;3,02589E-08
2,55;3,017917E-08
2,6;3,092723E-08
2,65;3,107479E-08
2,7;3,182999E-08
2,75;3,1794E-08
2,8;3,258357E-08
2,85;3,232174E-08
2,9;3,32165E-08
2,95;3,307042E-08
3;3,404229E-08
3,05;3,37988E-08
3,1;3,468292E-08
3,15;3,472353E-08
3,2;3,536514E-08
3,25;3,540275E-08
3,3;3,590075E-08
3,35;3,574381E-08
3,4;3,703865E-08
3,45;3,659832E-08
3,5;3,768102E-08
3,55;3,751664E-08
3,6;3,827988E-08
3,65;3,821027E-08
3,7;3,890717E-08
3,75;3,880786E-08
3,8;3,97297E-08
3,85;3,941938E-08
3,9;4,063407E-08
3,95;4,023679E-08
4;4,094481E-08
4,05;4,129917E-08
4,1;4,141476E-08
4,15;4,232394E-08
4,2;4,223682E-08
4,25;4,293943E-08
4,3;4,273887E-08
4,35;4,332841E-08
4,4;4,335036E-08
4,45;4,404939E-08
4,5;4,449335E-08
4,55;4,487568E-08
4,6;4,487831E-08
4,65;4,547967E-08
4,7;4,532985E-08
4,75;4,647863E-08
4,8;4,596115E-08
4,85;4,711806E-08
4,9;4,665202E-08
4,95;4,77187E-08
5;4,688024E-08
5,05;4,841182E-08
5,1;4,77104E-08
5,15;4,901153E-08
5,2;4,844732E-08
5,25;4,997788E-08
5,3;4,899876E-08
5,35;4,994828E-08
5,4;4,942818E-08
5,45;5,071077E-08
5,5;5,007797E-08
5,55;5,129928E-08
5,6;5,047817E-08
5,65;5,197692E-08
5,7;5,076064E-08
5,75;5,250016E-08
5,8;5,144287E-08
5,85;5,250394E-08
5,9;5,249235E-08
5,95;5,325536E-08
6;5,305234E-08
6,05;5,370386E-08
6,1;5,309473E-08
6,15;5,441641E-08
6,2;5,380177E-08
6,25;5,501854E-08
6,3;5,440764E-08
6,35;5,513565E-08
6,4;5,524447E-08
6,45;5,516307E-08
6,5;5,616341E-08
6,55;5,581927E-08
6,6;5,664777E-08
6,65;5,621707E-08
6,7;5,692537E-08
6,75;5,659217E-08
6,8;5,744303E-08
6,85;5,716677E-08
6,9;5,783032E-08
6,95;5,805757E-08
7;5,813411E-08
7,05;5,841185E-08
7,1;5,873624E-08
7,15;5,875328E-08
7,2;5,927292E-08
7,25;5,944417E-08
7,3;5,986681E-08
7,35;5,948191E-08
7,4;6,043373E-08
7,45;5,967762E-08
7,5;6,082092E-08
7,55;6,044634E-08
7,6;6,136052E-08
7,65;6,082017E-08
7,7;6,145596E-08
7,75;6,101313E-08
7,8;6,19026E-08
7,85;6,194551E-08
7,9;6,255521E-08
7,95;6,223262E-08
8;6,264215E-08
8,05;6,289266E-08
8,1;6,297545E-08
8,15;6,314001E-08
8,2;6,380834E-08
8,25;6,342079E-08
8,3;6,458614E-08
8,35;6,392578E-08
8,4;6,448068E-08
8,45;6,372559E-08
8,5;6,517398E-08
8,55;6,358979E-08
8,6;6,562696E-08
8,65;6,467652E-08
8,7;6,551934E-08
8,75;6,499076E-08
8,8;6,58318E-08
8,85;6,55177E-08
8,9;6,633476E-08
8,95;6,634478E-08
9;6,65157E-08
9,05;6,654102E-08
9,1;6,659615E-08
9,15;6,670988E-08
9,2;6,729481E-08
9,25;6,721223E-08
9,3;6,743555E-08
9,35;6,771313E-08
9,4;6,796175E-08
9,45;6,778359E-08
9,5;6,826421E-08
9,55;6,78103E-08
9,6;6,902808E-08
9,65;6,86348E-08
9,7;6,917272E-08
9,75;6,864673E-08
9,8;6,930806E-08
9,85;6,928095E-08
9,9;6,965134E-08
9,95;6,97761E-08
10;7,022121E-08
