Tensao [V];Corrente [A]
-10;-1,49709E-09
-9,95;-1,454144E-09
-9,9;-1,419402E-09
-9,85;-1,396211E-09
-9,8;-1,375863E-09
-9,75;-1,361722E-09
-9,7;-1,343022E-09
-9,65;-1,330577E-09
-9,6;-1,315176E-09
-9,55;-1,302319E-09
-9,5;-1,290394E-09
-9,45;-1,278688E-09
-9,4;-1,271268E-09
-9,35;-1,261026E-09
-9,3;-1,246427E-09
-9,25;-1,237182E-09
-9,2;-1,224681E-09
-9,15;-1,215497E-09
-9,1;-1,203018E-09
-9,05;-1,195483E-09
-9;-1,185088E-09
-8,95;-1,173738E-09
-8,9;-1,162816E-09
-8,85;-1,152841E-09
-8,8;-1,142494E-09
-8,75;-1,133104E-09
-8,7;-1,119652E-09
-8,65;-1,10927E-09
-8,6;-1,100652E-09
-8,55;-1,092075E-09
-8,5;-1,08375E-09
-8,45;-1,071716E-09
-8,4;-1,06373E-09
-8,35;-1,048925E-09
-8,3;-1,041644E-09
-8,25;-1,028074E-09
-8,2;-1,020972E-09
-8,15;-1,009851E-09
-8,1;-9,998942E-10
-8,05;-9,93484E-10
-8;-9,826242E-10
-7,95;-9,748922E-10
-7,9;-9,634246E-10
-7,85;-9,517649E-10
-7,8;-9,439801E-10
-7,75;-9,307843E-10
-7,7;-9,241034E-10
-7,65;-9,433858E-10
-7,6;-9,46394E-10
-7,55;-9,291518E-10
-7,5;-9,098394E-10
-7,45;-8,935013E-10
-7,4;-8,799133E-10
-7,35;-8,730354E-10
-7,3;-8,612147E-10
-7,25;-8,520951E-10
-7,2;-8,402029E-10
-7,15;-8,3332E-10
-7,1;-8,233438E-10
-7,05;-8,147547E-10
-7;-8,044896E-10
-6,95;-7,904816E-10
-6,9;-7,797017E-10
-6,85;-7,687481E-10
-6,8;-7,592696E-10
-6,75;-7,509093E-10
-6,7;-7,411319E-10
-6,65;-7,307977E-10
-6,6;-7,214017E-10
-6,55;-7,140946E-10
-6,5;-7,035501E-10
-6,45;-6,853317E-10
-6,4;-6,756661E-10
-6,35;-6,66679E-10
-6,3;-6,622502E-10
-6,25;-6,484037E-10
-6,2;-6,39903E-10
-6,15;-6,313864E-10
-6,1;-6,236935E-10
-6,05;-6,09122E-10
-6;-6,012904E-10
-5,95;-5,882587E-10
-5,9;-5,846121E-10
-5,85;-5,726544E-10
-5,8;-5,627062E-10
-5,75;-5,512942E-10
-5,7;-5,416251E-10
-5,65;-5,284388E-10
-5,6;-5,179696E-10
-5,55;-5,079846E-10
-5,5;-5,006852E-10
-5,45;-4,880272E-10
-5,4;-4,777225E-10
-5,35;-4,70369E-10
-5,3;-4,652804E-10
-5,25;-4,551373E-10
-5,2;-4,427147E-10
-5,15;-4,284141E-10
-5,1;-4,181966E-10
-5,05;-4,078769E-10
-5;-3,967793E-10
-4,95;-3,900459E-10
-4,9;-3,788966E-10
-4,85;-3,707598E-10
-4,8;-3,591007E-10
-4,75;-3,478755E-10
-4,7;-3,377616E-10
-4,65;-3,255095E-10
-4,6;-3,16222E-10
-4,55;-3,038879E-10
-4,5;-2,956997E-10
-4,45;-2,841114E-10
-4,4;-2,73792E-10
-4,35;-2,641343E-10
-4,3;-2,54554E-10
-4,25;-2,399643E-10
-4,2;-2,283874E-10
