Tensao [V];Corrente [A]
-10;-1,397812E-09
-9,95;-1,358777E-09
-9,9;-1,329608E-09
-9,85;-1,307932E-09
-9,8;-1,281409E-09
-9,75;-1,27183E-09
-9,7;-1,25614E-09
-9,65;-1,250048E-09
-9,6;-1,231891E-09
-9,55;-1,225235E-09
-9,5;-1,216964E-09
-9,45;-1,205705E-09
-9,4;-1,192518E-09
-9,35;-1,18241E-09
-9,3;-1,176163E-09
-9,25;-1,167945E-09
-9,2;-1,155945E-09
-9,15;-1,146898E-09
-9,1;-1,138477E-09
-9,05;-1,134249E-09
-9;-1,123949E-09
-8,95;-1,113632E-09
-8,9;-1,10311E-09
-8,85;-1,095344E-09
-8,8;-1,083201E-09
-8,75;-1,072945E-09
-8,7;-1,063066E-09
-8,65;-1,0619E-09
-8,6;-1,04941E-09
-8,55;-1,04356E-09
-8,5;-1,0336E-09
-8,45;-1,029604E-09
-8,4;-1,015548E-09
-8,35;-1,007836E-09
-8,3;-9,967792E-10
-8,25;-9,970006E-10
-8,2;-9,854147E-10
-8,15;-9,768479E-10
-8,1;-9,712668E-10
-8,05;-9,665029E-10
-8;-9,521144E-10
-7,95;-9,418782E-10
-7,9;-9,30752E-10
-7,85;-9,306288E-10
-7,8;-9,240272E-10
-7,75;-9,10891E-10
-7,7;-8,956831E-10
-7,65;-8,886245E-10
-7,6;-8,844429E-10
-7,55;-8,744224E-10
-7,5;-8,649456E-10
-7,45;-8,588432E-10
-7,4;-8,500157E-10
-7,35;-8,425503E-10
-7,3;-8,360837E-10
-7,25;-8,29924E-10
-7,2;-8,210862E-10
-7,15;-8,101981E-10
-7,1;-8,013272E-10
-7,05;-7,920728E-10
-7;-7,881631E-10
-6,95;-7,807057E-10
-6,9;-7,667301E-10
-6,85;-7,627689E-10
-6,8;-7,49491E-10
-6,75;-7,472002E-10
-6,7;-7,319924E-10
-6,65;-7,303057E-10
-6,6;-7,217353E-10
-6,55;-7,144476E-10
-6,5;-7,034073E-10
-6,45;-6,942971E-10
-6,4;-6,846841E-10
-6,35;-6,764886E-10
-6,3;-6,625686E-10
-6,25;-6,58507E-10
-6,2;-6,482055E-10
-6,15;-6,413082E-10
-6,1;-6,281149E-10
-6,05;-6,230307E-10
-6;-6,150342E-10
-5,95;-6,038099E-10
-5,9;-5,93173E-10
-5,85;-5,812741E-10
-5,8;-5,774588E-10
-5,75;-5,697996E-10
-5,7;-5,578212E-10
-5,65;-5,47676E-10
-5,6;-5,376035E-10
-5,55;-5,367533E-10
-5,5;-5,253383E-10
-5,45;-5,14049E-10
-5,4;-5,085719E-10
-5,35;-4,970416E-10
-5,3;-4,891926E-10
-5,25;-4,750682E-10
-5,2;-4,723358E-10
-5,15;-4,620755E-10
-5,1;-4,50816E-10
-5,05;-4,361828E-10
-5;-4,305792E-10
-4,95;-4,249502E-10
-4,9;-4,168649E-10
-4,85;-4,040233E-10
-4,8;-3,981269E-10
-4,75;-3,861072E-10
-4,7;-3,781851E-10
-4,65;-3,622292E-10
-4,6;-3,572493E-10
-4,55;-3,484976E-10
-4,5;-3,398707E-10
-4,45;-3,224124E-10
-4,4;-3,120609E-10
-4,35;-3,093217E-10
-4,3;-2,969692E-10
-4,25;-2,86369E-10
-4,2;-2,726827E-10
-4,15;-2,647838E-10
-4,1;-2,537781E-10
-4,05;-2,426888E-10
-4;-2,332946E-10
-3,95;-2,236641E-10
-3,9;-2,124229E-10
-3,85;-2,021476E-10
-3,8;-1,888267E-10
-3,75;-1,862126E-10
-3,7;-1,742546E-10
-3,65;-1,57492E-10
-3,6;-1,464421E-10
-3,55;-1,326384E-10
-3,5;-1,277753E-10
-3,45;-1,142962E-10
-3,4;-1,054559E-10
-3,35;-9,390365E-11
-3,3;-8,561363E-11
-3,25;-7,070686E-11
-3,2;-5,954786E-11
-3,15;-4,878229E-11
-3,1;-4,100837E-11
-3,05;-2,335989E-11
-3;-1,046301E-11
-2,95;3,661984E-12
-2,9;1,128899E-11
-2,85;2,176433E-11
-2,8;3,270049E-11
-2,75;4,418817E-11
-2,7;5,640758E-11
-2,65;6,930357E-11
-2,6;8,392145E-11
-2,55;9,557461E-11
-2,5;1,036502E-10
-2,45;1,193063E-10
-2,4;1,337109E-10
-2,35;1,470946E-10
-2,3;1,574866E-10
-2,25;1,719906E-10
-2,2;1,849625E-10
-2,15;2,025697E-10
-2,1;2,14066E-10
-2,05;2,261727E-10
-2;2,36366E-10
-1,95;2,531313E-10
-1,9;2,619017E-10
-1,85;2,774082E-10
-1,8;2,894143E-10
-1,75;3,049025E-10
-1,7;3,21631E-10
-1,65;3,292152E-10
-1,6;3,504024E-10
-1,55;3,678966E-10
-1,5;3,837473E-10
-1,45;3,959887E-10
-1,4;4,151406E-10
-1,35;4,381469E-10
-1,3;4,525842E-10
-1,25;4,825484E-10
-1,2;5,166273E-10
-1,15;5,591652E-10
-1,1;6,038617E-10
-1,05;6,568776E-10
-1;7,321556E-10
-0,95;8,194955E-10
-0,9;9,186982E-10
-0,85;1,028567E-09
-0,8;1,166045E-09
-0,75;1,321671E-09
-0,7;1,49815E-09
-0,65;1,68468E-09
-0,6;1,914016E-09
-0,55;2,244322E-09
-0,5;2,453899E-09
-0,45;2,809608E-09
-0,4;3,215851E-09
-0,35;3,677525E-09
-0,3;4,242477E-09
-0,25;4,833318E-09
-0,2;5,497179E-09
-0,15;6,166647E-09
-0,1;6,937301E-09
-0,05;7,756223E-09
0;8,812705E-09
0,05;9,54866E-09
0,1;1,042655E-08
0,15;1,143182E-08
0,2;1,241454E-08
0,25;1,352656E-08
0,3;1,45167E-08
0,35;1,566112E-08
0,4;1,677255E-08
0,45;1,798171E-08
0,5;1,905706E-08
0,55;2,036583E-08
0,6;2,218551E-08
0,65;2,33393E-08
0,7;2,461421E-08
0,75;2,595332E-08
0,8;2,732541E-08
0,85;2,845951E-08
0,9;2,983951E-08
0,95;3,09735E-08
1;3,233416E-08
1,05;3,347016E-08
1,1;3,471924E-08
1,15;3,595479E-08
1,2;3,721192E-08
1,25;3,821921E-08
1,3;3,961878E-08
1,35;4,045811E-08
1,4;4,18153E-08
1,45;4,267017E-08
1,5;4,38786E-08
1,55;4,490842E-08
1,6;4,60404E-08
1,65;4,670592E-08
1,7;4,801482E-08
1,75;4,885805E-08
1,8;5,005701E-08
1,85;5,087145E-08
1,9;5,18956E-08
1,95;5,274695E-08
2;5,378116E-08
2,05;5,463344E-08
2,1;5,56923E-08
2,15;5,664266E-08
2,2;5,764364E-08
2,25;5,84268E-08
2,3;5,929121E-08
2,35;6,002408E-08
2,4;6,113886E-08
2,45;6,19283E-08
2,5;6,310261E-08
2,55;6,345149E-08
2,6;6,470837E-08
2,65;6,502805E-08
2,7;6,639489E-08
2,75;6,680538E-08
2,8;6,810088E-08
2,85;6,841275E-08
2,9;6,961231E-08
2,95;6,985891E-08
3;7,123455E-08
3,05;7,131364E-08
3,1;7,279254E-08
3,15;7,298515E-08
3,2;7,437252E-08
3,25;7,481089E-08
3,3;7,556967E-08
3,35;7,636356E-08
3,4;7,692637E-08
3,45;7,758675E-08
3,5;7,836679E-08
3,55;7,927495E-08
3,6;7,970407E-08
3,65;8,068042E-08
3,7;8,128124E-08
3,75;8,191459E-08
3,8;8,299053E-08
3,85;8,347298E-08
3,9;8,478411E-08
3,95;8,498636E-08
4;8,59551E-08
4,05;8,650791E-08
4,1;8,711908E-08
4,15;8,803337E-08
4,2;8,880127E-08
4,25;8,962272E-08
4,3;9,028373E-08
4,35;9,098125E-08
4,4;9,178126E-08
4,45;9,234075E-08
4,5;9,302193E-08
4,55;9,393707E-08
4,6;9,449958E-08
4,65;9,519171E-08
4,7;9,581147E-08
4,75;9,630268E-08
4,8;9,718676E-08
4,85;9,749338E-08
4,9;9,889244E-08
4,95;9,900183E-08
5;9,989703E-08
5,05;1,000828E-07
5,1;1,010816E-07
5,15;1,014592E-07
5,2;1,022448E-07
5,25;1,030308E-07
5,3;1,036597E-07
5,35;1,040825E-07
5,4;1,046103E-07
5,45;1,053239E-07
5,5;1,055134E-07
5,55;1,062666E-07
5,6;1,070976E-07
5,65;1,074583E-07
5,7;1,080613E-07
5,75;1,082668E-07
5,8;1,095202E-07
5,85;1,096601E-07
5,9;1,107852E-07
5,95;1,106411E-07
6;1,115901E-07
6,05;1,115904E-07
6,1;1,125944E-07
6,15;1,125772E-07
6,2;1,137002E-07
6,25;1,140557E-07
6,3;1,14805E-07
6,35;1,14786E-07
6,4;1,155522E-07
6,45;1,15902E-07
6,5;1,16262E-07
6,55;1,168415E-07
6,6;1,173668E-07
6,65;1,180536E-07
6,7;1,182455E-07
6,75;1,19192E-07
6,8;1,187956E-07
6,85;1,198643E-07
6,9;1,199636E-07
6,95;1,210465E-07
7;1,207318E-07
7,05;1,21841E-07
7,1;1,218667E-07
7,15;1,22593E-07
7,2;1,226494E-07
7,25;1,235433E-07
7,3;1,236977E-07
7,35;1,244961E-07
7,4;1,247203E-07
7,45;1,255087E-07
7,5;1,256993E-07
7,55;1,266898E-07
7,6;1,265755E-07
7,65;1,272815E-07
7,7;1,273555E-07
7,75;1,280763E-07
7,8;1,281201E-07
7,85;1,289759E-07
7,9;1,28976E-07
7,95;1,300922E-07
8;1,297382E-07
8,05;1,305978E-07
8,1;1,303775E-07
8,15;1,31437E-07
8,2;1,302581E-07
8,25;1,322683E-07
8,3;1,319356E-07
8,35;1,331078E-07
8,4;1,326362E-07
8,45;1,342824E-07
8,5;1,332929E-07
8,55;1,348135E-07
8,6;1,339901E-07
8,65;1,356082E-07
8,7;1,347121E-07
8,75;1,362408E-07
8,8;1,350979E-07
8,85;1,367655E-07
8,9;1,360764E-07
8,95;1,376519E-07
9;1,370138E-07
9,05;1,379841E-07
9,1;1,375662E-07
9,15;1,379577E-07
9,2;1,377985E-07
9,25;1,392399E-07
9,3;1,390617E-07
9,35;1,398959E-07
9,4;1,394398E-07
9,45;1,404221E-07
9,5;1,40695E-07
9,55;1,409321E-07
9,6;1,415839E-07
9,65;1,415378E-07
9,7;1,418872E-07
9,75;1,422265E-07
9,8;1,425502E-07
9,85;1,421056E-07
9,9;1,427268E-07
9,95;1,430074E-07
10;1,438809E-07
