Tensao [V];Corrente [A]
-10;-6,905109E-10
-9,95;-6,773115E-10
-9,9;-6,703683E-10
-9,85;-6,652875E-10
-9,8;-6,560666E-10
-9,75;-6,473737E-10
-9,7;-6,419467E-10
-9,65;-6,38911E-10
-9,6;-6,312325E-10
-9,55;-6,248312E-10
-9,5;-6,213673E-10
-9,45;-6,197649E-10
-9,4;-6,128583E-10
-9,35;-6,063773E-10
-9,3;-6,035064E-10
-9,25;-5,999182E-10
-9,2;-5,933441E-10
-9,15;-5,876195E-10
-9,1;-5,860605E-10
-9,05;-5,83478E-10
-9;-5,774969E-10
-8,95;-5,718009E-10
-8,9;-5,694671E-10
-8,85;-5,666217E-10
-8,8;-5,61124E-10
-8,75;-5,565784E-10
-8,7;-5,55435E-10
-8,65;-5,509034E-10
-8,6;-5,431749E-10
-8,55;-5,374491E-10
-8,5;-5,361419E-10
-8,45;-5,3176E-10
-8,4;-5,268489E-10
-8,35;-5,216377E-10
-8,3;-5,20125E-10
-8,25;-5,170208E-10
-8,2;-5,112877E-10
-8,15;-5,064389E-10
-8,1;-5,040672E-10
-8,05;-5,007584E-10
-8;-4,947844E-10
-7,95;-4,90783E-10
-7,9;-4,886784E-10
-7,85;-4,844528E-10
-7,8;-4,78304E-10
-7,75;-4,737533E-10
-7,7;-4,717263E-10
-7,65;-4,671386E-10
-7,6;-4,600677E-10
-7,55;-4,554022E-10
-7,5;-4,540366E-10
-7,45;-4,501984E-10
-7,4;-4,441096E-10
-7,35;-4,397401E-10
-7,3;-4,376237E-10
-7,25;-4,341108E-10
-7,2;-4,273408E-10
-7,15;-4,235856E-10
-7,1;-4,224529E-10
-7,05;-4,178781E-10
-7;-4,121151E-10
-6,95;-4,073437E-10
-6,9;-4,057541E-10
-6,85;-4,007438E-10
-6,8;-3,940765E-10
-6,75;-3,906365E-10
-6,7;-3,879593E-10
-6,65;-3,834894E-10
-6,6;-3,768348E-10
-6,55;-3,730572E-10
-6,5;-3,714098E-10
-6,45;-3,663228E-10
-6,4;-3,606665E-10
-6,35;-3,56943E-10
-6,3;-3,553612E-10
-6,25;-3,508714E-10
-6,2;-3,4529E-10
-6,15;-3,436771E-10
-6,1;-3,414601E-10
-6,05;-3,374684E-10
-6;-3,315108E-10
-5,95;-3,290828E-10
-5,9;-3,28101E-10
-5,85;-3,227827E-10
-5,8;-3,161954E-10
-5,75;-3,130873E-10
-5,7;-3,108568E-10
-5,65;-3,065817E-10
-5,6;-3,005077E-10
-5,55;-2,972217E-10
-5,5;-2,949628E-10
-5,45;-2,901428E-10
-5,4;-2,843298E-10
-5,35;-2,820085E-10
-5,3;-2,802877E-10
-5,25;-2,750849E-10
-5,2;-2,695414E-10
-5,15;-2,667311E-10
-5,1;-2,639086E-10
-5,05;-2,591594E-10
-5;-2,534492E-10
-4,95;-2,501267E-10
-4,9;-2,482479E-10
-4,85;-2,429006E-10
-4,8;-2,372064E-10
-4,75;-2,345887E-10
-4,7;-2,313651E-10
-4,65;-2,248485E-10
-4,6;-2,195245E-10
-4,55;-2,162951E-10
-4,5;-2,157312E-10
-4,45;-2,112358E-10
-4,4;-2,063186E-10
-4,35;-2,042829E-10
-4,3;-2,017507E-10
-4,25;-1,980813E-10
-4,2;-1,929669E-10
-4,15;-1,900755E-10
-4,1;-1,875081E-10
-4,05;-1,831253E-10
-4;-1,772607E-10
-3,95;-1,754813E-10
-3,9;-1,73128E-10
-3,85;-1,673823E-10
-3,8;-1,62795E-10
-3,75;-1,598755E-10
-3,7;-1,565359E-10
-3,65;-1,512864E-10
-3,6;-1,492813E-10
-3,55;-1,444918E-10
-3,5;-1,422305E-10
-3,45;-1,376982E-10
-3,4;-1,326585E-10
-3,35;-1,306926E-10
-3,3;-1,272597E-10
-3,25;-1,224369E-10
-3,2;-1,179966E-10
-3,15;-1,152341E-10
-3,1;-1,125757E-10
-3,05;-1,064282E-10
-3;-1,020392E-10
-2,95;-1,001653E-10
