Tensao [V];Corrente [A]
-10;-1,342152E-09
-9,95;-1,313293E-09
-9,9;-1,288266E-09
-9,85;-1,269237E-09
-9,8;-1,254789E-09
-9,75;-1,240672E-09
-9,7;-1,226076E-09
-9,65;-1,213314E-09
-9,6;-1,205174E-09
-9,55;-1,194291E-09
-9,5;-1,182553E-09
-9,45;-1,17195E-09
-9,4;-1,163941E-09
-9,35;-1,154481E-09
-9,3;-1,144245E-09
-9,25;-1,133698E-09
-9,2;-1,126001E-09
-9,15;-1,116019E-09
-9,1;-1,103331E-09
-9,05;-1,09325E-09
-9;-1,085751E-09
-8,95;-1,075937E-09
-8,9;-1,06694E-09
-8,85;-1,059111E-09
-8,8;-1,053158E-09
-8,75;-1,043971E-09
-8,7;-1,037206E-09
-8,65;-1,027106E-09
-8,6;-1,020344E-09
-8,55;-1,011448E-09
-8,5;-1,001914E-09
-8,45;-9,940377E-10
-8,4;-9,86456E-10
-8,35;-9,769598E-10
-8,3;-9,670089E-10
-8,25;-9,588004E-10
-8,2;-9,510287E-10
-8,15;-9,413624E-10
-8,1;-9,313252E-10
-8,05;-9,23514E-10
-8;-9,172711E-10
-7,95;-9,050841E-10
-7,9;-8,918489E-10
-7,85;-8,816084E-10
-7,8;-8,738279E-10
-7,75;-8,637069E-10
-7,7;-8,540548E-10
-7,65;-8,465422E-10
-7,6;-8,385709E-10
-7,55;-8,294713E-10
-7,5;-8,198279E-10
-7,45;-8,116623E-10
-7,4;-8,03879E-10
-7,35;-7,952436E-10
-7,3;-7,863948E-10
-7,25;-7,80395E-10
-7,2;-7,732335E-10
-7,15;-7,619648E-10
-7,1;-7,535668E-10
-7,05;-7,467968E-10
-7;-7,394273E-10
-6,95;-7,301739E-10
-6,9;-7,199297E-10
-6,85;-7,121524E-10
-6,8;-7,06598E-10
-6,75;-6,971067E-10
-6,7;-6,871585E-10
-6,65;-6,757312E-10
-6,6;-6,655233E-10
-6,55;-6,553874E-10
-6,5;-6,448289E-10
-6,45;-6,401553E-10
-6,4;-6,337157E-10
-6,35;-6,228977E-10
-6,3;-6,140499E-10
-6,25;-6,05435E-10
-6,2;-5,958897E-10
-6,15;-5,853941E-10
-6,1;-5,762023E-10
-6,05;-5,692921E-10
-6;-5,61877E-10
-5,95;-5,531501E-10
-5,9;-5,43965E-10
-5,85;-5,362314E-10
-5,8;-5,297154E-10
-5,75;-5,200803E-10
-5,7;-5,130282E-10
-5,65;-5,056793E-10
-5,6;-5,001141E-10
-5,55;-4,923829E-10
-5,5;-4,805166E-10
-5,45;-4,709656E-10
-5,4;-4,605601E-10
-5,35;-4,48902E-10
-5,3;-4,390564E-10
-5,25;-4,331775E-10
-5,2;-4,232109E-10
-5,15;-4,134046E-10
-5,1;-4,029734E-10
-5,05;-3,974018E-10
-5;-3,891633E-10
-4,95;-3,78579E-10
-4,9;-3,697891E-10
-4,85;-3,611791E-10
-4,8;-3,528721E-10
-4,75;-3,408402E-10
-4,7;-3,303439E-10
-4,65;-3,239562E-10
-4,6;-3,139894E-10
-4,55;-3,02861E-10
-4,5;-2,92588E-10
-4,45;-2,855004E-10
-4,4;-2,761037E-10
-4,35;-2,645019E-10
-4,3;-2,5563E-10
-4,25;-2,471572E-10
-4,2;-2,37552E-10
-4,15;-2,243807E-10
-4,1;-2,153919E-10
-4,05;-2,073066E-10
-4;-1,972933E-10
-3,95;-1,826377E-10
-3,9;-1,724676E-10
-3,85;-1,639373E-10
-3,8;-1,543151E-10
-3,75;-1,40321E-10
-3,7;-1,291263E-10
-3,65;-1,192076E-10
-3,6;-1,081918E-10
-3,55;-9,521386E-11
-3,5;-8,440035E-11
-3,45;-7,652461E-11
-3,4;-6,598069E-11
-3,35;-5,428107E-11
-3,3;-4,445413E-11
-3,25;-3,335625E-11
-3,2;-2,141151E-11
-3,15;-7,88449E-12
-3,1;3,909613E-12
-3,05;1,459836E-11
-3;2,65973E-11
-2,95;3,873966E-11
-2,9;4,753484E-11
-2,85;5,544015E-11
-2,8;6,616319E-11
-2,75;7,729688E-11
-2,7;8,693154E-11
