Tensao [V];Corrente [A]
-10;-7,06507E-10
-9,95;-6,965221E-10
-9,9;-6,890197E-10
-9,85;-6,830365E-10
-9,8;-6,769508E-10
-9,75;-6,732158E-10
-9,7;-6,681223E-10
-9,65;-6,633166E-10
-9,6;-6,592041E-10
-9,55;-6,543041E-10
-9,5;-6,514237E-10
-9,45;-6,475632E-10
-9,4;-6,435248E-10
-9,35;-6,394031E-10
-9,3;-6,350687E-10
-9,25;-6,319187E-10
-9,2;-6,269967E-10
-9,15;-6,228563E-10
-9,1;-6,184529E-10
-9,05;-6,147233E-10
-9;-6,105924E-10
-8,95;-6,067475E-10
-8,9;-6,033341E-10
-8,85;-5,990025E-10
-8,8;-5,959032E-10
-8,75;-5,924568E-10
-8,7;-5,887848E-10
-8,65;-5,86547E-10
-8,6;-5,817122E-10
-8,55;-5,776526E-10
-8,5;-5,734381E-10
-8,45;-5,685392E-10
-8,4;-5,663219E-10
-8,35;-5,621036E-10
-8,3;-5,590789E-10
-8,25;-5,549006E-10
-8,2;-5,511663E-10
-8,15;-5,467651E-10
-8,1;-5,425322E-10
-8,05;-5,393838E-10
-8;-5,347289E-10
-7,95;-5,308251E-10
-7,9;-5,263703E-10
-7,85;-5,224499E-10
-7,8;-5,183806E-10
-7,75;-5,137548E-10
-7,7;-5,105136E-10
-7,65;-5,066879E-10
-7,6;-5,029423E-10
-7,55;-4,989915E-10
-7,5;-4,944271E-10
-7,45;-4,912322E-10
-7,4;-4,86906E-10
-7,35;-4,841136E-10
-7,3;-4,802057E-10
-7,25;-4,758939E-10
-7,2;-4,717597E-10
-7,15;-4,663473E-10
-7,1;-4,632308E-10
-7,05;-4,592931E-10
-7;-4,552696E-10
-6,95;-4,51003E-10
-6,9;-4,467648E-10
-6,85;-4,437036E-10
-6,8;-4,392988E-10
-6,75;-4,358731E-10
-6,7;-4,319574E-10
-6,65;-4,276786E-10
-6,6;-4,235975E-10
-6,55;-4,191215E-10
-6,5;-4,157832E-10
-6,45;-4,113463E-10
-6,4;-4,077285E-10
-6,35;-4,031531E-10
-6,3;-3,987044E-10
-6,25;-3,955128E-10
-6,2;-3,914365E-10
-6,15;-3,874948E-10
-6,1;-3,830339E-10
-6,05;-3,792404E-10
-6;-3,755308E-10
-5,95;-3,710538E-10
-5,9;-3,6773E-10
-5,85;-3,634965E-10
-5,8;-3,592841E-10
-5,75;-3,550449E-10
-5,7;-3,500727E-10
-5,65;-3,464913E-10
-5,6;-3,41203E-10
-5,55;-3,375628E-10
-5,5;-3,330527E-10
-5,45;-3,290793E-10
-5,4;-3,253512E-10
-5,35;-3,202966E-10
-5,3;-3,167156E-10
-5,25;-3,133968E-10
-5,2;-3,081682E-10
-5,15;-3,039926E-10
-5,1;-2,989776E-10
-5,05;-2,958301E-10
-5;-2,915393E-10
-4,95;-2,878772E-10
-4,9;-2,83721E-10
-4,85;-2,788397E-10
-4,8;-2,751124E-10
-4,75;-2,702973E-10
-4,7;-2,665185E-10
-4,65;-2,596282E-10
-4,6;-2,533424E-10
-4,55;-2,485465E-10
-4,5;-2,428232E-10
-4,45;-2,385641E-10
-4,4;-2,330366E-10
-4,35;-2,293832E-10
-4,3;-2,248963E-10
-4,25;-2,196322E-10
-4,2;-2,149969E-10
-4,15;-2,09553E-10
-4,1;-2,053528E-10
-4,05;-2,002948E-10
-4;-1,953727E-10
-3,95;-1,915022E-10
-3,9;-1,865507E-10
-3,85;-1,821364E-10
-3,8;-1,7649E-10
-3,75;-1,734761E-10
-3,7;-1,696291E-10
-3,65;-1,64457E-10
-3,6;-1,594922E-10
-3,55;-1,543177E-10
-3,5;-1,508983E-10
-3,45;-1,458537E-10
-3,4;-1,403434E-10
-3,35;-1,367402E-10
-3,3;-1,313021E-10
-3,25;-1,270567E-10
-3,2;-1,215942E-10
-3,15;-1,177348E-10
-3,1;-1,134108E-10
-3,05;-1,07919E-10
-3;-1,027714E-10
-2,95;-9,724522E-11
-2,9;-9,323749E-11
-2,85;-8,850673E-11
-2,8;-8,216056E-11
-2,75;-7,800708E-11
-2,7;-7,215727E-11
-2,65;-6,821328E-11
-2,6;-6,217479E-11
-2,55;-5,747335E-11
-2,5;-5,377693E-11
-2,45;-4,815759E-11
-2,4;-4,386185E-11
-2,35;-3,830991E-11
-2,3;-3,488071E-11
-2,25;-2,932993E-11
-2,2;-2,314559E-11
-2,15;-1,907292E-11
-2,1;-1,370479E-11
-2,05;-9,075714E-12
-2;-2,592299E-12
-1,95;2,333431E-12
-1,9;6,574092E-12
-1,85;1,258333E-11
-1,8;1,784618E-11
-1,75;2,40515E-11
-1,7;2,826398E-11
-1,65;3,398888E-11
-1,6;3,962432E-11
-1,55;4,502074E-11
-1,5;5,091477E-11
-1,45;5,622663E-11
-1,4;6,388187E-11
-1,35;6,899642E-11
-1,3;7,39528E-11
-1,25;8,031258E-11
-1,2;8,585971E-11
-1,15;9,222446E-11
-1,1;9,588784E-11
-1,05;1,021055E-10
-1;1,089076E-10
-0,95;1,14537E-10
