Tensao [V];Corrente [A]
-10;-4,934648E-10
-9,95;-4,864571E-10
-9,9;-4,828462E-10
-9,85;-4,80749E-10
-9,8;-4,776345E-10
-9,75;-4,747013E-10
-9,7;-4,709105E-10
-9,65;-4,679442E-10
-9,6;-4,662986E-10
-9,55;-4,623364E-10
-9,5;-4,6042E-10
-9,45;-4,589209E-10
-9,4;-4,565835E-10
-9,35;-4,535952E-10
-9,3;-4,501186E-10
-9,25;-4,479128E-10
-9,2;-4,452451E-10
-9,15;-4,417808E-10
-9,1;-4,383197E-10
-9,05;-4,360913E-10
-9;-4,342943E-10
-8,95;-4,316993E-10
-8,9;-4,28819E-10
-8,85;-4,26836E-10
-8,8;-4,235441E-10
-8,75;-4,208565E-10
-8,7;-4,180314E-10
-8,65;-4,155744E-10
-8,6;-4,132166E-10
-8,55;-4,111743E-10
-8,5;-4,082638E-10
-8,45;-4,059551E-10
-8,4;-4,032998E-10
-8,35;-4,003942E-10
-8,3;-3,979778E-10
-8,25;-3,95995E-10
-8,2;-3,933733E-10
-8,15;-3,912481E-10
-8,1;-3,889083E-10
-8,05;-3,857783E-10
-8;-3,836348E-10
-7,95;-3,808508E-10
-7,9;-3,777671E-10
-7,85;-3,74585E-10
-7,8;-3,726618E-10
-7,75;-3,701452E-10
-7,7;-3,675454E-10
-7,65;-3,650933E-10
-7,6;-3,624144E-10
-7,55;-3,592785E-10
-7,5;-3,575681E-10
-7,45;-3,561872E-10
-7,4;-3,529461E-10
-7,35;-3,491795E-10
-7,3;-3,458892E-10
-7,25;-3,441503E-10
-7,2;-3,415248E-10
-7,15;-3,384742E-10
-7,1;-3,366016E-10
-7,05;-3,337805E-10
-7;-3,314645E-10
-6,95;-3,287482E-10
-6,9;-3,26519E-10
-6,85;-3,241822E-10
-6,8;-3,220626E-10
-6,75;-3,187265E-10
-6,7;-3,155323E-10
-6,65;-3,123208E-10
-6,6;-3,100531E-10
-6,55;-3,07242E-10
-6,5;-3,046607E-10
-6,45;-3,025182E-10
-6,4;-3,004275E-10
-6,35;-2,981869E-10
-6,3;-2,960048E-10
-6,25;-2,932505E-10
-6,2;-2,898968E-10
-6,15;-2,88008E-10
-6,1;-2,85396E-10
-6,05;-2,822031E-10
-6;-2,800022E-10
-5,95;-2,770013E-10
-5,9;-2,737019E-10
-5,85;-2,723247E-10
-5,8;-2,70369E-10
-5,75;-2,670947E-10
-5,7;-2,640095E-10
-5,65;-2,61836E-10
-5,6;-2,589167E-10
-5,55;-2,560805E-10
-5,5;-2,534997E-10
-5,45;-2,511812E-10
-5,4;-2,494696E-10
-5,35;-2,462073E-10
-5,3;-2,431223E-10
-5,25;-2,400137E-10
-5,2;-2,380159E-10
-5,15;-2,352565E-10
-5,1;-2,321603E-10
-5,05;-2,295259E-10
-5;-2,273922E-10
-4,95;-2,254773E-10
-4,9;-2,233262E-10
-4,85;-2,21046E-10
-4,8;-2,177219E-10
-4,75;-2,15235E-10
-4,7;-2,119666E-10
