Tensao [V];Corrente [A]
7;2,051102E-09
7,01;2,054775E-09
7,02;2,057254E-09
7,03;2,058286E-09
7,04;2,059182E-09
7,05;2,05961E-09
7,06;2,062469E-09
7,07;2,064036E-09
7,08;2,063655E-09
7,09;2,064168E-09
7,1;2,066205E-09
7,11;2,067007E-09
7,12;2,06768E-09
7,13;2,069088E-09
7,14;2,070773E-09
7,15;2,072051E-09
7,16;2,072955E-09
7,17;2,073578E-09
7,18;2,075834E-09
7,19;2,078861E-09
7,2;2,078999E-09
7,21;2,078549E-09
7,22;2,080123E-09
7,23;2,082148E-09
7,24;2,082929E-09
7,25;2,082339E-09
7,26;2,082692E-09
7,27;2,0851E-09
7,28;2,08577E-09
7,29;2,086574E-09
7,3;2,087545E-09
7,31;2,089285E-09
7,32;2,089692E-09
7,33;2,089774E-09
7,34;2,09087E-09
7,35;2,092703E-09
7,36;2,093668E-09
7,37;2,094074E-09
7,38;2,095442E-09
7,39;2,096995E-09
7,4;2,098621E-09
7,41;2,098284E-09
7,42;2,097892E-09
7,43;2,099576E-09
7,44;2,054753E-09
7,45;2,097707E-09
7,46;2,103005E-09
7,47;2,1034E-09
7,48;2,103585E-09
7,49;2,104569E-09
7,5;2,105309E-09
7,51;2,105903E-09
7,52;2,1077E-09
7,53;2,108705E-09
7,54;2,110009E-09
7,55;2,110349E-09
7,56;2,110943E-09
7,57;2,112274E-09
7,58;2,11303E-09
7,59;2,113623E-09
7,6;2,114136E-09
7,61;2,115081E-09
7,62;2,117169E-09
7,63;2,117624E-09
7,64;2,117569E-09
7,65;2,118862E-09
7,66;2,121037E-09
7,67;2,122439E-09
7,68;2,121703E-09
7,69;2,122206E-09
7,7;2,124242E-09
7,71;2,126453E-09
7,72;2,126328E-09
7,73;2,126689E-09
7,74;2,127282E-09
7,75;2,128738E-09
7,76;2,129306E-09
7,77;2,129831E-09
7,78;2,130913E-09
7,79;2,132518E-09
7,8;2,132613E-09
7,81;2,13314E-09
7,82;2,13416E-09
7,83;2,135169E-09
7,84;2,135383E-09
7,85;2,136887E-09
7,86;2,138013E-09
7,87;2,139167E-09
7,88;2,140045E-09
7,89;2,139948E-09
7,9;2,140492E-09
7,91;2,142924E-09
7,92;2,143511E-09
7,93;2,144122E-09
7,94;2,144753E-09
7,95;2,146767E-09
7,96;2,148048E-09
7,97;2,146993E-09
7,98;2,14844E-09
7,99;2,149377E-09
8;2,149968E-09
