Tensao [V];Corrente [A]
-10;-5,340669E-10
-9,75;-4,943912E-10
-9,5;-4,743533E-10
-9,25;-4,561906E-10
-9;-4,414532E-10
-8,75;-4,275905E-10
-8,5;-4,127403E-10
-8,25;-3,974146E-10
-8;-3,812382E-10
-7,75;-3,66817E-10
-7,5;-3,528323E-10
-7,25;-3,392976E-10
-7;-3,252155E-10
-6,75;-3,098875E-10
-6,5;-2,952492E-10
-6,25;-2,819967E-10
-6;-2,676815E-10
-5,75;-2,523673E-10
-5,5;-2,382095E-10
-5,25;-2,237905E-10
-5;-2,09753E-10
-4,75;-1,957598E-10
-4,5;-1,816096E-10
-4,25;-1,665764E-10
-4;-1,521994E-10
-3,75;-1,37986E-10
-3,5;-1,235595E-10
-3,25;-1,094501E-10
-3;-9,688753E-11
-2,75;-8,292294E-11
-2,5;-6,843706E-11
-2,25;-5,390285E-11
-2;-3,89352E-11
-1,75;-2,476755E-11
-1,5;-1,107424E-11
-1,25;4,169621E-12
-1;1,847114E-11
-0,75;3,214849E-11
-0,5;4,645373E-11
-0,25;6,11726E-11
0;6,912091E-11
0,25;8,067555E-11
0,5;9,706262E-11
0,75;1,144689E-10
1;1,317823E-10
1,25;1,472159E-10
1,5;1,630703E-10
1,75;1,785335E-10
2;1,930962E-10
2,25;2,076715E-10
2,5;2,217862E-10
2,75;2,359266E-10
3;2,50191E-10
3,25;2,643525E-10
3,5;2,787357E-10
3,75;2,935017E-10
4;3,079606E-10
4,25;3,220626E-10
4,5;3,360543E-10
4,75;3,508055E-10
5;3,648693E-10
5,25;3,791174E-10
5,5;3,927145E-10
5,75;4,066789E-10
6;4,215377E-10
6,25;4,356252E-10
6,5;4,495874E-10
6,75;4,619506E-10
7;4,768284E-10
7,25;4,897426E-10
7,5;5,036554E-10
7,75;5,183642E-10
8;5,33482E-10
8,25;5,48145E-10
8,5;5,616041E-10
8,75;5,758417E-10
9;5,904131E-10
9,25;6,03768E-10
9,5;6,173936E-10
9,75;6,311257E-10
10;6,457391E-10
