Tensao [V];Corrente [A]
-2;-7,884807E-11
-1,98;-7,41755E-11
-1,96;-7,214207E-11
-1,94;-7,115868E-11
-1,92;-7,088007E-11
-1,9;-6,950047E-11
-1,88;-6,728738E-11
-1,86;-6,627313E-11
-1,84;-6,543597E-11
-1,82;-6,514742E-11
-1,8;-6,344826E-11
-1,78;-6,190402E-11
-1,76;-6,174668E-11
-1,74;-6,018257E-11
-1,72;-5,926615E-11
-1,7;-5,786297E-11
-1,68;-5,700229E-11
-1,66;-5,591742E-11
-1,64;-5,408458E-11
-1,62;-5,347029E-11
-1,6;-5,274336E-11
-1,58;-5,169194E-11
-1,56;-5,073713E-11
-1,54;-4,900831E-11
-1,52;-4,908757E-11
-1,5;-4,835565E-11
-1,48;-4,717045E-11
-1,46;-4,581192E-11
-1,44;-4,505151E-11
-1,42;-4,427009E-11
-1,4;-4,223534E-11
-1,38;-4,162977E-11
-1,36;-4,069972E-11
-1,34;-3,990835E-11
-1,32;-3,824517E-11
-1,3;-3,61584E-11
-1,28;-3,607172E-11
-1,26;-3,50822E-11
-1,24;-3,422771E-11
-1,22;-3,292866E-11
-1,2;-3,229207E-11
-1,18;-3,174468E-11
-1,16;-3,011369E-11
-1,14;-2,776687E-11
-1,12;-2,686158E-11
-1,1;-2,672658E-11
-1,08;-2,560953E-11
-1,06;-2,369494E-11
-1,04;-2,329246E-11
-1,02;-2,265714E-11
-1;-2,184598E-11
-0,98;-1,964901E-11
-0,96;-1,8314E-11
-0,94;-1,819759E-11
-0,92;-1,656533E-11
-0,9;-1,56068E-11
-0,88;-1,458634E-11
-0,86;-1,416899E-11
-0,84;-1,309528E-11
-0,82;-1,137759E-11
-0,8;-1,057757E-11
-0,78;-9,744112E-12
-0,76;-8,955242E-12
-0,74;-7,563252E-12
-0,72;-6,423909E-12
-0,7;-7,036921E-12
-0,68;-6,453625E-12
-0,66;-4,608378E-12
-0,64;-2,707401E-12
-0,62;-2,454762E-12
-0,6;-1,573006E-12
-0,58;-1,507083E-14
-0,56;1,288999E-12
-0,54;2,231448E-12
-0,52;2,829612E-12
-0,5;4,158451E-12
-0,48;6,144901E-12
-0,46;6,596931E-12
-0,44;7,3821E-12
-0,42;8,275007E-12
-0,4;9,647186E-12
-0,38;1,081008E-11
-0,36;1,108997E-11
-0,34;1,255257E-11
-0,32;1,397057E-11
-0,3;1,441641E-11
-0,28;1,49415E-11
-0,26;1,674714E-11
-0,24;1,739112E-11
-0,22;1,793109E-11
-0,2;1,889828E-11
-0,18;2,019989E-11
-0,16;2,181853E-11
-0,14;2,257398E-11
-0,12;2,28551E-11
-0,1;2,433997E-11
-0,08;2,551896E-11
-0,06;2,673016E-11
-0,04;2,678589E-11
-0,02;2,777417E-11
0;2,963926E-11
0,02;3,036248E-11
0,04;3,117366E-11
0,06;3,211239E-11
0,08;3,301151E-11
0,1;3,418306E-11
0,12;3,416569E-11
0,14;3,430939E-11
0,16;3,558494E-11
0,18;3,691008E-11
0,2;3,859436E-11
0,22;3,862902E-11
0,24;3,916775E-11
0,26;4,048296E-11
0,28;4,141923E-11
0,3;4,17858E-11
0,32;4,275549E-11
0,34;4,397778E-11
0,36;4,520017E-11
0,38;4,581814E-11
0,4;4,613764E-11
0,42;4,695133E-11
0,44;4,881393E-11
0,46;4,918794E-11
0,48;4,922012E-11
0,5;5,10877E-11
0,52;5,23038E-11
0,54;5,319176E-11
0,56;5,301347E-11
0,58;5,412559E-11
0,6;5,584079E-11
0,62;5,582714E-11
0,64;5,728355E-11
0,66;5,879077E-11
0,68;5,928487E-11
0,7;6,066447E-11
0,72;6,091338E-11
0,74;6,207015E-11
0,76;6,390548E-11
0,78;6,456805E-11
0,8;6,506587E-11
0,82;6,601574E-11
0,84;6,731239E-11
0,86;6,790685E-11
0,88;6,843068E-11
0,9;6,887405E-11
0,92;7,057938E-11
0,94;7,13497E-11
0,96;7,151808E-11
0,98;7,234663E-11
1;7,353057E-11
1,02;7,504148E-11
1,04;7,575478E-11
1,06;7,240603E-11
1,08;7,144625E-11
1,1;7,666507E-11
1,12;7,954196E-11
1,14;8,021811E-11
1,16;8,080511E-11
1,18;8,272219E-11
1,2;8,314953E-11
1,22;8,439536E-11
1,24;8,556937E-11
1,26;8,584682E-11
1,28;8,658492E-11
1,3;8,724374E-11
1,32;8,875091E-11
1,34;8,988656E-11
1,36;9,046618E-11
1,38;9,086488E-11
1,4;9,184578E-11
1,42;9,563539E-11
1,44;9,685892E-11
1,46;9,737914E-11
1,48;9,784847E-11
1,5;9,923056E-11
1,52;1,000529E-10
1,54;1,002127E-10
1,56;1,013966E-10
1,58;1,021186E-10
1,6;1,031527E-10
1,62;1,03726E-10
1,64;1,045831E-10
1,66;1,058253E-10
1,68;1,061496E-10
1,7;1,077324E-10
1,72;1,083541E-10
1,74;1,090749E-10
1,76;1,105139E-10
1,78;1,110787E-10
1,8;1,123988E-10
1,82;1,137227E-10
1,84;1,143977E-10
1,86;1,150985E-10
1,88;1,161079E-10
1,9;1,169834E-10
1,92;1,181674E-10
1,94;1,190219E-10
1,96;1,197129E-10
1,98;1,209006E-10
2;1,214852E-10
