Tensao [V];Corrente [A]
-2;1,050254E-08
-1,99;1,129278E-08
-1,98;1,214773E-08
-1,97;1,306395E-08
-1,96;1,404905E-08
-1,95;1,511371E-08
-1,94;1,625983E-08
-1,93;1,749523E-08
-1,92;1,882945E-08
-1,91;2,026603E-08
-1,9;2,258894E-08
-1,89;2,431531E-08
-1,88;2,61901E-08
-1,87;2,819006E-08
-1,86;3,03652E-08
-1,85;3,270172E-08
-1,84;3,523146E-08
-1,83;3,794745E-08
-1,82;4,085664E-08
-1,81;4,406099E-08
-1,8;4,744313E-08
-1,79;5,108492E-08
-1,78;5,499218E-08
-1,77;5,920483E-08
-1,76;6,373224E-08
-1,75;6,860355E-08
-1,74;7,383076E-08
-1,73;7,942095E-08
-1,72;8,541981E-08
-1,71;9,181929E-08
-1,7;9,863464E-08
-1,69;1,059056E-07
-1,68;1,136698E-07
-1,67;1,219041E-07
-1,66;1,306956E-07
-1,65;1,400433E-07
-1,64;1,500022E-07
-1,63;1,605036E-07
-1,62;1,716254E-07
-1,61;1,83321E-07
-1,6;1,956742E-07
-1,59;2,086441E-07
-1,58;2,221664E-07
-1,57;2,364667E-07
-1,56;2,512564E-07
-1,55;2,66653E-07
-1,54;2,828956E-07
-1,53;2,993594E-07
-1,52;3,163283E-07
-1,51;3,337457E-07
-1,5;3,516602E-07
-1,49;3,700075E-07
-1,48;3,887777E-07
-1,47;4,079399E-07
-1,46;4,273959E-07
-1,45;4,471709E-07
-1,44;4,672173E-07
-1,43;4,875247E-07
-1,42;5,081039E-07
-1,41;5,289629E-07
-1,4;5,500206E-07
-1,39;5,712656E-07
-1,38;5,927453E-07
-1,37;6,144751E-07
-1,36;6,364691E-07
-1,35;6,586116E-07
-1,34;6,810353E-07
-1,33;7,03591E-07
-1,32;7,26351E-07
-1,31;7,492319E-07
-1,3;7,721908E-07
-1,29;7,954299E-07
-1,28;8,193186E-07
-1,27;8,42821E-07
-1,26;8,66457E-07
-1,25;8,901773E-07
-1,24;9,140534E-07
-1,23;9,380947E-07
-1,22;9,621604E-07
-1,21;9,863768E-07
-1,2;1,010189E-06
-1,19;1,034532E-06
-1,18;1,059002E-06
-1,17;1,083938E-06
-1,16;1,109261E-06
-1,15;1,134353E-06
-1,14;1,159389E-06
-1,13;1,184475E-06
-1,12;1,209638E-06
-1,11;1,234964E-06
-1,1;1,260289E-06
-1,09;1,285703E-06
-1,08;1,31134E-06
-1,07;1,336924E-06
-1,06;1,362662E-06
-1,05;1,388373E-06
-1,04;1,414298E-06
-1,03;1,440321E-06
-1,02;1,466885E-06
-1,01;1,493087E-06
-1;1,519472E-06
-0,99;1,546035E-06
-0,98;1,572522E-06
-0,97;1,599292E-06
-0,96;1,625796E-06
-0,95;1,65235E-06
-0,94;1,679105E-06
-0,93;1,70584E-06
-0,92;1,732644E-06
-0,91;1,759668E-06
-0,9;1,786727E-06
-0,89;1,813827E-06
-0,88;1,841067E-06
-0,87;1,868294E-06
-0,86;1,895586E-06
-0,85;1,923099E-06
-0,84;1,95055E-06
-0,83;1,978132E-06
-0,82;2,005867E-06
-0,81;2,033637E-06
-0,8;2,061671E-06
-0,79;2,089525E-06
-0,78;2,117475E-06
-0,77;2,14576E-06
-0,76;2,174069E-06
-0,75;2,202263E-06
-0,74;2,230837E-06
-0,73;2,25927E-06
-0,72;2,288231E-06
-0,71;2,317205E-06
-0,7;2,345877E-06
-0,69;2,375153E-06
-0,68;2,403898E-06
-0,67;2,433149E-06
-0,66;2,462246E-06
-0,65;2,491884E-06
-0,64;2,521185E-06
-0,63;2,550972E-06
-0,62;2,580547E-06
-0,61;2,610536E-06
-0,6;2,640576E-06
-0,59;2,670526E-06
-0,58;2,700831E-06
-0,57;2,731296E-06
-0,56;2,761785E-06
-0,55;2,791885E-06
-0,54;2,822528E-06
-0,53;2,853041E-06
-0,52;2,88421E-06
-0,51;2,91514E-06
-0,5;2,945653E-06
-0,49;2,976909E-06
-0,48;3,008441E-06
-0,47;3,040009E-06
-0,46;3,071855E-06
-0,45;3,103623E-06
-0,44;3,135267E-06
-0,43;3,166885E-06
-0,42;3,19888E-06
-0,41;3,230549E-06
-0,4;3,263058E-06
-0,39;3,295255E-06
-0,38;3,327802E-06
-0,37;3,360207E-06
-0,36;3,39254E-06
-0,35;3,425239E-06
-0,34;3,457821E-06
-0,33;3,490683E-06
-0,32;3,523302E-06
-0,31;3,556315E-06
-0,3;3,589125E-06
-0,29;3,622372E-06
-0,28;3,655268E-06
-0,27;3,688681E-06
-0,26;3,721756E-06
-0,25;3,754865E-06
-0,24;3,788302E-06
-0,23;3,82194E-06
-0,22;3,855312E-06
-0,21;3,889E-06
-0,2;3,923288E-06
-0,19;3,956925E-06
-0,18;3,990563E-06
-0,17;4,024074E-06
-0,16;4,058025E-06
-0,15;4,092051E-06
-0,14;4,125726E-06
-0,13;4,159787E-06
-0,12;4,19359E-06
-0,11;4,227353E-06
-0,1;4,261593E-06
-0,09;4,295551E-06
-0,08;4,329392E-06
-0,07;4,363781E-06
-0,06;4,397731E-06
-0,05;4,431504E-06
-0,04;4,46533E-06
-0,03;4,499284E-06
-0,02;4,533118E-06
-0,01;4,567174E-06
0;4,60122E-06
