Tensao [V];Corrente [A]
-1;-3,391055E-11
-0,99;-3,106458E-11
-0,98;-3,107446E-11
-0,97;-3,034998E-11
-0,96;-2,893317E-11
-0,95;-2,912267E-11
-0,94;-2,908303E-11
-0,93;-2,95809E-11
-0,92;-2,858395E-11
-0,91;-2,828671E-11
-0,9;-2,787676E-11
-0,89;-2,641537E-11
-0,88;-2,58816E-11
-0,87;-2,49218E-11
-0,86;-2,450319E-11
-0,85;-2,441651E-11
-0,84;-2,382824E-11
-0,83;-2,368458E-11
-0,82;-2,319043E-11
-0,81;-2,301334E-11
-0,8;-2,286967E-11
-0,79;-2,282012E-11
-0,78;-2,215384E-11
-0,77;-2,088069E-11
-0,76;-2,055125E-11
-0,75;-1,951963E-11
-0,74;-1,892268E-11
-0,73;-1,871957E-11
-0,72;-1,839634E-11
-0,71;-1,77313E-11
-0,7;-1,684083E-11
-0,69;-1,750093E-11
-0,68;-1,704642E-11
-0,67;-1,576585E-11
-0,66;-1,60383E-11
-0,65;-1,562465E-11
-0,64;-1,59962E-11
-0,63;-1,497323E-11
-0,62;-1,40419E-11
-0,61;-1,316011E-11
-0,6;-1,291862E-11
-0,59;-1,215325E-11
-0,58;-1,107579E-11
-0,57;-1,149934E-11
-0,56;-1,118352E-11
-0,55;-1,064728E-11
-0,54;-1,012836E-11
-0,53;-9,334506E-12
-0,52;-9,787782E-12
-0,51;-8,919625E-12
-0,5;-8,29048E-12
-0,49;-7,904075E-12
-0,48;-7,626665E-12
-0,47;-7,585794E-12
-0,46;-5,927493E-12
-0,45;-5,304544E-12
-0,44;-5,186893E-12
-0,43;-4,951586E-12
-0,42;-4,419048E-12
-0,41;-3,48029E-12
-0,4;-4,202313E-12
-0,39;-3,394837E-12
-0,38;-2,40159E-12
-0,37;-2,073397E-12
-0,36;-1,985466E-12
-0,35;-1,652319E-12
-0,34;-3,296407E-13
-0,33;-2,850558E-13
-0,32;-3,246869E-13
-0,31;6,437977E-13
-0,3;9,02639E-13
-0,29;1,555316E-12
-0,28;2,531232E-12
-0,27;3,85021E-12
-0,26;4,226704E-12
-0,25;4,775349E-12
-0,24;5,473851E-12
-0,23;5,418119E-12
-0,22;6,555039E-12
-0,21;7,096252E-12
-0,2;6,608291E-12
-0,19;6,267708E-12
-0,18;6,690031E-12
-0,17;7,599069E-12
-0,16;8,358257E-12
-0,15;8,318626E-12
-0,14;8,518024E-12
-0,13;9,248717E-12
-0,12;1,041165E-11
-0,11;1,030142E-11
-0,1;1,130707E-11
-0,09;1,26087E-11
-0,08;1,3597E-11
-0,07;1,358586E-11
-0,06;1,44206E-11
-0,05;1,552902E-11
-0,04;1,511043E-11
-0,03;1,598727E-11
-0,02;1,65421E-11
-0,01;1,734587E-11
0;1,811992E-11
0,01;2,020674E-11
0,02;1,921471E-11
0,03;2,050027E-11
0,04;2,072691E-11
0,05;2,052379E-11
0,06;2,038012E-11
0,07;2,04334E-11
0,08;2,120372E-11
0,09;2,144769E-11
0,1;2,158766E-11
0,11;2,209666E-11
0,12;2,26453E-11
0,13;2,350481E-11
0,14;2,321128E-11
0,15;2,377108E-11
0,16;2,406583E-11
0,17;2,488696E-11
0,18;2,520895E-11
0,19;2,611179E-11
0,2;2,700721E-11
0,21;2,737627E-11
0,22;2,716573E-11
0,23;2,731681E-11
0,24;2,768342E-11
0,25;2,809582E-11
0,26;2,8185E-11
0,27;2,843393E-11
0,28;2,875345E-11
0,29;2,903213E-11
0,3;3,02359E-11
0,31;3,012321E-11
0,32;3,060619E-11
0,33;3,076599E-11
0,34;3,201064E-11
0,35;3,238712E-11
0,36;3,298038E-11
0,37;3,359717E-11
0,38;3,38733E-11
0,39;3,485915E-11
0,4;3,535577E-11
0,41;3,534211E-11
0,42;3,646916E-11
0,43;3,636512E-11
0,44;3,722092E-11
0,45;3,739428E-11
0,46;3,833182E-11
0,47;3,886808E-11
0,48;3,882967E-11
0,49;3,975108E-11
0,5;4,06341E-11
0,51;4,07976E-11
0,52;4,091032E-11
0,53;4,169427E-11
0,54;4,2072E-11
0,55;4,205841E-11
0,56;4,282996E-11
0,57;4,366343E-11
0,58;4,478921E-11
0,59;4,540104E-11
0,6;4,496388E-11
0,61;4,665931E-11
0,62;4,699373E-11
0,63;4,679805E-11
0,64;4,717325E-11
0,65;4,752624E-11
0,66;4,857524E-11
0,67;4,932821E-11
0,68;4,945456E-11
0,69;4,89678E-11
0,7;4,926137E-11
0,71;5,004032E-11
0,72;5,08243E-11
0,73;5,156613E-11
0,74;5,164172E-11
0,75;5,199341E-11
0,76;5,278481E-11
0,77;5,289503E-11
0,78;5,3305E-11
0,79;5,336075E-11
0,8;5,405797E-11
0,81;5,59194E-11
0,82;5,639373E-11
0,83;5,655968E-11
0,84;5,688544E-11
0,85;5,756781E-11
0,86;5,789721E-11
0,87;5,805327E-11
0,88;5,915677E-11
0,89;6,059091E-11
0,9;6,100331E-11
0,91;6,030607E-11
0,92;6,133771E-11
0,93;6,233716E-11
0,94;6,247833E-11
0,95;6,27632E-11
0,96;6,156189E-11
0,97;6,216258E-11
0,98;6,272111E-11
0,99;6,294774E-11
1;6,278426E-11
