Tensao [V];Corrente [A]
-2;-1,165002E-09
-1,98;-1,149077E-09
-1,96;-1,139393E-09
-1,94;-1,132696E-09
-1,92;-1,125975E-09
-1,9;-1,12108E-09
-1,88;-1,114453E-09
-1,86;-1,10783E-09
-1,84;-1,103227E-09
-1,82;-1,096716E-09
-1,8;-1,091172E-09
-1,78;-1,08383E-09
-1,76;-1,080629E-09
-1,74;-1,075038E-09
-1,72;-1,068899E-09
-1,7;-1,063743E-09
-1,68;-1,054194E-09
-1,66;-1,048922E-09
-1,64;-1,039599E-09
-1,62;-1,030793E-09
-1,6;-1,023639E-09
-1,58;-1,012505E-09
-1,56;-1,004048E-09
-1,54;-9,910048E-10
-1,52;-9,804902E-10
-1,5;-9,693434E-10
-1,48;-9,54683E-10
-1,46;-9,391899E-10
-1,44;-9,190245E-10
-1,42;-8,986291E-10
-1,4;-8,759278E-10
-1,38;-8,505163E-10
-1,36;-8,218068E-10
-1,34;-7,883992E-10
-1,32;-7,515244E-10
-1,3;-7,085315E-10
-1,28;-6,600038E-10
-1,26;-6,084269E-10
-1,24;-5,448058E-10
-1,22;-4,706662E-10
-1,2;-3,837204E-10
-1,18;-2,795972E-10
-1,16;-1,598482E-10
-1,14;-2,461897E-11
-1,12;1,251222E-10
-1,1;2,957608E-10
-1,08;4,889259E-10
-1,06;7,093341E-10
-1,04;9,580239E-10
-1,02;1,238979E-09
-1;1,5608E-09
-0,98;1,927221E-09
-0,96;2,499531E-09
-0,94;2,841268E-09
-0,92;3,385825E-09
-0,9;4,029574E-09
-0,88;4,780901E-09
-0,86;5,663793E-09
-0,84;6,704879E-09
-0,82;7,932679E-09
-0,8;9,400375E-09
-0,78;1,114455E-08
-0,76;1,322907E-08
-0,74;1,572491E-08
-0,72;1,87217E-08
-0,7;2,414552E-08
-0,68;2,882803E-08
-0,66;3,450949E-08
-0,64;4,137971E-08
-0,62;4,958944E-08
-0,6;5,945946E-08
-0,58;7,123428E-08
-0,56;8,52664E-08
-0,54;1,02058E-07
-0,52;1,2153E-07
-0,5;1,44052E-07
-0,48;1,696554E-07
-0,46;1,982141E-07
-0,44;2,294544E-07
-0,42;2,633539E-07
-0,4;2,994204E-07
-0,38;3,37082E-07
-0,36;3,757569E-07
-0,34;4,149878E-07
-0,32;4,546671E-07
-0,3;4,947134E-07
-0,28;5,354347E-07
-0,26;5,760817E-07
-0,24;6,169292E-07
-0,22;6,580491E-07
-0,2;6,994507E-07
-0,18;7,411774E-07
-0,16;7,830927E-07
-0,14;8,253389E-07
-0,12;8,679198E-07
-0,1;9,108469E-07
-0,08;9,541626E-07
-0,06;9,978604E-07
-0,04;1,041919E-06
-0,02;1,0868E-06
0;1,131621E-06
0,02;1,176957E-06
0,04;1,22287E-06
0,06;1,2687E-06
0,08;1,314841E-06
0,1;1,361273E-06
0,12;1,408051E-06
0,14;1,455099E-06
0,16;1,502507E-06
0,18;1,550186E-06
0,2;1,598292E-06
0,22;1,646622E-06
0,24;1,695267E-06
0,26;1,744229E-06
0,28;1,793578E-06
0,3;1,843755E-06
0,32;1,893787E-06
0,34;1,944267E-06
0,36;1,995008E-06
0,38;2,046123E-06
0,4;2,097613E-06
0,42;2,149248E-06
0,44;2,201691E-06
0,46;2,25421E-06
0,48;2,307281E-06
0,5;2,360489E-06
0,52;2,414098E-06
0,54;2,468686E-06
0,56;2,523271E-06
0,58;2,57796E-06
0,6;2,633225E-06
0,62;2,688777E-06
0,64;2,744506E-06
0,66;2,800796E-06
0,68;2,857391E-06
0,7;2,91416E-06
0,72;2,971154E-06
0,74;3,028449E-06
0,76;3,085997E-06
0,78;3,143679E-06
0,8;3,20194E-06
0,82;3,259835E-06
0,84;3,31811E-06
0,86;3,376072E-06
0,88;3,434505E-06
0,9;3,493016E-06
0,92;3,551301E-06
0,94;3,609578E-06
0,96;3,667974E-06
0,98;3,726535E-06
1;3,784998E-06
1,02;3,843369E-06
1,04;3,901567E-06
1,06;3,960204E-06
1,08;4,018551E-06
1,1;4,076564E-06
1,12;4,134206E-06
1,14;4,191944E-06
1,16;4,249676E-06
1,18;4,307425E-06
1,2;4,364743E-06
1,22;4,421889E-06
1,24;4,478896E-06
1,26;4,535763E-06
1,28;4,592397E-06
1,3;4,648775E-06
1,32;4,705769E-06
1,34;4,761788E-06
1,36;4,817603E-06
1,38;4,873302E-06
1,4;4,928608E-06
1,42;4,984022E-06
1,44;5,039098E-06
1,46;5,094126E-06
1,48;5,14861E-06
1,5;5,203251E-06
1,52;5,25755E-06
1,54;5,311316E-06
1,56;5,365831E-06
1,58;5,419279E-06
1,6;5,472308E-06
1,62;5,525367E-06
1,64;5,578454E-06
1,66;5,631071E-06
1,68;5,683386E-06
1,7;5,735656E-06
1,72;5,7877E-06
1,74;5,83945E-06
1,76;5,891157E-06
1,78;5,942491E-06
1,8;5,993293E-06
1,82;6,044747E-06
1,84;6,095487E-06
1,86;6,145859E-06
1,88;6,195434E-06
1,9;6,245104E-06
1,92;6,294588E-06
1,94;6,344686E-06
1,96;6,394079E-06
1,98;6,443029E-06
2;6,491585E-06
