Tensao [V];Corrente [A]
-5;-1,636154E-09
-4,9;-1,572874E-09
-4,8;-1,533499E-09
-4,7;-1,503232E-09
-4,6;-1,479174E-09
-4,5;-1,454892E-09
-4,4;-1,430445E-09
-4,3;-1,40894E-09
-4,2;-1,388955E-09
-4,1;-1,37117E-09
-4;-1,351568E-09
-3,9;-1,329821E-09
-3,8;-1,311329E-09
-3,7;-1,29491E-09
-3,6;-1,275102E-09
-3,5;-1,257351E-09
-3,4;-1,239224E-09
-3,3;-1,222689E-09
-3,2;-1,205285E-09
-3,1;-1,185835E-09
-3;-1,169774E-09
-2,9;-1,152802E-09
-2,8;-1,13444E-09
-2,7;-1,115212E-09
-2,6;-1,096295E-09
-2,5;-1,080955E-09
-2,4;-1,061641E-09
-2,3;-1,044098E-09
-2,2;-1,025722E-09
-2,1;-1,007403E-09
-2;-9,892421E-10
-1,9;-9,68156E-10
-1,8;-9,468102E-10
-1,7;-9,208472E-10
-1,6;-8,850109E-10
-1,5;-8,358872E-10
-1,4;-7,590039E-10
-1,3;-6,222875E-10
-1,2;-3,451129E-10
-1,1;2,037536E-10
-1;1,253604E-09
-0,9;4,264577E-09
-0,8;7,758898E-09
-0,7;1,802579E-08
-0,6;5,930726E-08
-0,5;1,439699E-07
-0,4;2,991079E-07
-0,3;4,944112E-07
-0,2;6,990855E-07
-0,1;9,104521E-07
0;1,131179E-06
0,1;1,360768E-06
0,2;1,597785E-06
0,3;1,843299E-06
0,4;2,097071E-06
0,5;2,359702E-06
0,6;2,632488E-06
0,7;2,91346E-06
0,8;3,201166E-06
0,9;3,492092E-06
1;3,784083E-06
1,1;4,075666E-06
1,2;4,363756E-06
1,3;4,647851E-06
1,4;4,927748E-06
1,5;5,201886E-06
1,6;5,471415E-06
1,7;5,73448E-06
1,8;5,991958E-06
1,9;6,244307E-06
2;6,490319E-06
2,1;6,729968E-06
2,2;6,961889E-06
2,3;7,186865E-06
2,4;7,405453E-06
2,5;7,616531E-06
2,6;7,821224E-06
2,7;8,017831E-06
2,8;8,206009E-06
2,9;8,385232E-06
3;8,553833E-06
3,1;8,713733E-06
3,2;8,863546E-06
3,3;9,003864E-06
3,4;9,135375E-06
3,5;9,258418E-06
3,6;9,374161E-06
3,7;9,482243E-06
3,8;9,583425E-06
3,9;9,67814E-06
4;9,765628E-06
4,1;9,84635E-06
4,2;9,921171E-06
4,3;9,990067E-06
4,4;1,005436E-05
4,5;1,011465E-05
4,6;1,017029E-05
4,7;1,022256E-05
4,8;1,027202E-05
4,9;1,031877E-05
5;1,036307E-05
