Tensao [V];Corrente [A]
-1;-1,513871E-10
-0,99;-1,46842E-10
-0,98;-1,434881E-10
-0,97;-1,386891E-10
-0,96;-1,335147E-10
-0,95;-1,307578E-10
-0,94;-1,290537E-10
-0,93;-1,24392E-10
-0,92;-1,221306E-10
-0,91;-1,222556E-10
-0,9;-1,212785E-10
-0,89;-1,175804E-10
-0,88;-1,15444E-10
-0,87;-1,161128E-10
-0,86;-1,15252E-10
-0,85;-1,121533E-10
-0,84;-1,107007E-10
-0,83;-1,087228E-10
-0,82;-1,085159E-10
-0,81;-1,019829E-10
-0,8;-9,997044E-11
-0,79;-9,920258E-11
-0,78;-9,743772E-11
-0,77;-9,162303E-11
-0,76;-8,888602E-11
-0,75;-9,040064E-11
-0,74;-8,822216E-11
-0,73;-8,245706E-11
-0,72;-7,945498E-11
-0,71;-7,935092E-11
-0,7;-7,859175E-11
-0,69;-7,334431E-11
-0,68;-7,136643E-11
-0,67;-7,080916E-11
-0,66;-6,724106E-11
-0,65;-6,25695E-11
-0,64;-6,047032E-11
-0,63;-6,098794E-11
-0,62;-5,74323E-11
-0,61;-5,321403E-11
-0,6;-5,145783E-11
-0,59;-5,023919E-11
-0,58;-4,730153E-11
-0,57;-4,2521E-11
-0,56;-4,039698E-11
-0,55;-3,730948E-11
-0,54;-3,209667E-11
-0,53;-2,667708E-11
-0,52;-2,326262E-11
-0,51;-2,174052E-11
-0,5;-1,386995E-11
-0,49;-7,00506E-12
-0,48;-1,254791E-12
-0,47;3,705362E-12
-0,46;1,061616E-11
-0,45;2,197067E-11
-0,44;3,04172E-11
-0,43;4,095922E-11
-0,42;5,350393E-11
-0,41;6,972443E-11
-0,4;8,69878E-11
-0,39;1,02329E-10
-0,38;1,233463E-10
-0,37;1,487811E-10
-0,36;1,757458E-10
-0,35;2,027372E-10
-0,34;2,366176E-10
-0,33;2,765688E-10
-0,32;3,182045E-10
-0,31;3,640227E-10
-0,3;4,209785E-10
-0,29;4,86579E-10
-0,28;5,584129E-10
-0,27;6,354295E-10
-0,26;7,273282E-10
-0,25;8,299686E-10
-0,24;9,435611E-10
-0,23;1,070774E-09
-0,22;1,215574E-09
-0,21;1,374843E-09
-0,2;1,551624E-09
-0,19;1,74829E-09
-0,18;1,961081E-09
-0,17;2,204585E-09
-0,16;2,439151E-09
-0,15;2,704166E-09
-0,14;2,991501E-09
-0,13;3,294676E-09
-0,12;3,60201E-09
-0,11;3,925875E-09
-0,1;4,262621E-09
-0,09;4,605471E-09
-0,08;4,942122E-09
-0,07;5,287262E-09
-0,06;5,635323E-09
-0,05;5,985215E-09
-0,04;6,333053E-09
-0,03;6,679814E-09
-0,02;7,029974E-09
-0,01;7,381927E-09
0;7,730498E-09
0,01;8,085215E-09
0,02;8,428611E-09
0,03;8,773487E-09
0,04;9,115578E-09
0,05;9,44723E-09
0,06;9,777386E-09
0,07;1,010229E-08
0,08;1,042723E-08
0,09;1,0751E-08
0,1;1,106752E-08
0,11;1,13786E-08
0,12;1,168576E-08
0,13;1,199208E-08
0,14;1,229104E-08
0,15;1,258582E-08
0,16;1,287533E-08
0,17;1,31598E-08
0,18;1,344555E-08
0,19;1,372328E-08
0,2;1,399336E-08
0,21;1,42658E-08
0,22;1,453536E-08
0,23;1,479266E-08
0,24;1,504659E-08
0,25;1,530411E-08
0,26;1,555994E-08
0,27;1,580535E-08
0,28;1,604908E-08
0,29;1,628705E-08
0,3;1,652572E-08
0,31;1,675383E-08
0,32;1,697736E-08
0,33;1,720086E-08
0,34;1,742414E-08
0,35;1,764367E-08
0,36;1,785536E-08
0,37;1,806346E-08
0,38;1,827462E-08
0,39;1,848127E-08
0,4;1,868172E-08
0,41;1,88783E-08
0,42;1,907178E-08
0,43;1,926139E-08
0,44;1,945063E-08
0,45;1,963736E-08
0,46;1,981974E-08
0,47;2,000072E-08
0,48;2,018274E-08
0,49;2,036146E-08
0,5;2,054028E-08
0,51;2,071321E-08
0,52;2,088675E-08
0,53;2,120142E-08
0,54;2,135543E-08
0,55;2,15064E-08
0,56;2,166077E-08
0,57;2,181981E-08
0,58;2,198274E-08
0,59;2,213233E-08
0,6;2,228244E-08
0,61;2,243681E-08
0,62;2,259003E-08
0,63;2,274468E-08
0,64;2,288872E-08
0,65;2,303856E-08
0,66;2,318803E-08
0,67;2,332468E-08
0,68;2,346823E-08
0,69;2,360625E-08
0,7;2,375383E-08
0,71;2,389224E-08
0,72;2,402056E-08
0,73;2,415391E-08
0,74;2,429142E-08
0,75;2,442932E-08
0,76;2,455878E-08
0,77;2,469002E-08
0,78;2,482173E-08
0,79;2,494417E-08
0,8;2,507186E-08
0,81;2,519353E-08
0,82;2,532727E-08
0,83;2,545219E-08
0,84;2,556946E-08
0,85;2,568572E-08
0,86;2,581026E-08
0,87;2,593256E-08
0,88;2,604127E-08
0,89;2,616153E-08
0,9;2,628133E-08
0,91;2,639658E-08
0,92;2,650842E-08
0,93;2,662026E-08
0,94;2,673539E-08
0,95;2,68446E-08
0,96;2,694511E-08
0,97;2,705735E-08
0,98;2,716341E-08
0,99;2,727148E-08
1;2,737516E-08
