Tensao [V];Corrente [A]
-1;-2,620175E-10
-0,99;-2,518663E-10
-0,98;-2,443042E-10
-0,97;-2,416316E-10
-0,96;-2,412192E-10
-0,95;-2,34684E-10
-0,94;-2,278812E-10
-0,93;-2,260743E-10
-0,92;-2,270267E-10
-0,91;-2,233585E-10
-0,9;-2,184815E-10
-0,89;-2,176033E-10
-0,88;-2,171811E-10
-0,87;-2,159079E-10
-0,86;-2,104701E-10
-0,85;-2,066369E-10
-0,84;-2,069156E-10
-0,83;-2,054047E-10
-0,82;-1,996299E-10
-0,81;-1,951976E-10
-0,8;-1,950018E-10
-0,79;-1,931726E-10
-0,78;-1,869271E-10
-0,77;-1,811312E-10
-0,76;-1,774754E-10
-0,75;-1,764958E-10
-0,74;-1,711456E-10
-0,73;-1,63341E-10
-0,72;-1,583711E-10
-0,71;-1,550286E-10
-0,7;-1,500796E-10
-0,69;-1,398019E-10
-0,68;-1,345572E-10
-0,67;-1,312442E-10
-0,66;-1,225739E-10
-0,65;-1,122861E-10
-0,64;-1,018263E-10
-0,63;-9,346426E-11
-0,62;-8,088662E-11
-0,61;-6,520677E-11
-0,6;-5,229226E-11
-0,59;-3,497384E-11
-0,58;-1,396737E-11
-0,57;1,003748E-11
-0,56;3,573913E-11
-0,55;6,425947E-11
-0,54;1,002726E-10
-0,53;1,427515E-10
-0,52;1,930119E-10
-0,51;2,474941E-10
-0,5;3,092965E-10
-0,49;3,846073E-10
-0,48;4,698983E-10
-0,47;5,678268E-10
-0,46;6,772455E-10
-0,45;8,05681E-10
-0,44;9,520925E-10
-0,43;1,113709E-09
-0,42;1,295896E-09
-0,41;1,502194E-09
-0,4;1,734755E-09
-0,39;1,991968E-09
-0,38;2,318752E-09
-0,37;2,600078E-09
-0,36;2,950107E-09
-0,35;3,342632E-09
-0,34;3,77654E-09
-0,33;4,249001E-09
-0,32;4,767718E-09
-0,31;5,338259E-09
-0,3;5,962856E-09
-0,29;6,638833E-09
-0,28;7,377467E-09
-0,27;8,174208E-09
-0,26;9,027708E-09
-0,25;9,942699E-09
-0,24;1,091115E-08
-0,23;1,193749E-08
-0,22;1,30268E-08
-0,21;1,417853E-08
-0,2;1,538159E-08
-0,19;1,663516E-08
-0,18;1,794601E-08
-0,17;1,93143E-08
-0,16;2,072439E-08
-0,15;2,286741E-08
-0,14;2,440771E-08
-0,13;2,5986E-08
-0,12;2,75671E-08
-0,11;2,915394E-08
-0,1;3,077237E-08
-0,09;3,243069E-08
-0,08;3,404422E-08
-0,07;3,56337E-08
-0,06;3,723405E-08
-0,05;3,884265E-08
-0,04;4,04163E-08
-0,03;4,193571E-08
-0,02;4,348069E-08
-0,01;4,501775E-08
0;4,653097E-08
0,01;4,801828E-08
0,02;4,943694E-08
0,03;5,08673E-08
0,04;5,229006E-08
0,05;5,370223E-08
0,06;5,506237E-08
0,07;5,63739E-08
0,08;5,770844E-08
0,09;5,905861E-08
0,1;6,034917E-08
0,11;6,15922E-08
0,12;6,285028E-08
0,13;6,411447E-08
0,14;6,533596E-08
0,15;6,651378E-08
0,16;6,767734E-08
0,17;6,888254E-08
0,18;7,004907E-08
0,19;7,115955E-08
0,2;7,226973E-08
0,21;7,339139E-08
0,22;7,450965E-08
0,23;7,559711E-08
0,24;7,662609E-08
0,25;7,77002E-08
0,26;7,877825E-08
0,27;7,980086E-08
0,28;8,082493E-08
0,29;8,182913E-08
0,3;8,284931E-08
0,31;8,384692E-08
0,32;8,480334E-08
0,33;8,57767E-08
0,34;8,675514E-08
0,35;8,77159E-08
0,36;8,863302E-08
0,37;8,956177E-08
0,38;9,051291E-08
0,39;9,143481E-08
0,4;9,231449E-08
0,41;9,319546E-08
0,42;9,409879E-08
0,43;9,499176E-08
0,44;9,586001E-08
0,45;9,66874E-08
0,46;9,754584E-08
0,47;9,839627E-08
0,48;9,922691E-08
0,49;1,000773E-07
0,5;1,008242E-07
0,51;1,016478E-07
0,52;1,024581E-07
0,53;1,03231E-07
0,54;1,040099E-07
0,55;1,048073E-07
0,56;1,05596E-07
0,57;1,063391E-07
0,58;1,070948E-07
0,59;1,078645E-07
0,6;1,086506E-07
0,61;1,093683E-07
0,62;1,10094E-07
0,63;1,108375E-07
0,64;1,115732E-07
0,65;1,122881E-07
0,66;1,129822E-07
0,67;1,136948E-07
0,68;1,144228E-07
0,69;1,151203E-07
0,7;1,15778E-07
0,71;1,164638E-07
0,72;1,171793E-07
0,73;1,178492E-07
0,74;1,185186E-07
0,75;1,191505E-07
0,76;1,198528E-07
0,77;1,205345E-07
0,78;1,211592E-07
0,79;1,217892E-07
0,8;1,224707E-07
0,81;1,231436E-07
0,82;1,237472E-07
0,83;1,243493E-07
0,84;1,249764E-07
0,85;1,255928E-07
0,86;1,261946E-07
0,87;1,267837E-07
0,88;1,273607E-07
0,89;1,279772E-07
0,9;1,285609E-07
0,91;1,290984E-07
0,92;1,296807E-07
0,93;1,30255E-07
0,94;1,308324E-07
0,95;1,313574E-07
0,96;1,318844E-07
0,97;1,324373E-07
0,98;1,329889E-07
0,99;1,335074E-07
1;1,339955E-07
